timestamp,source_ip,city,username,service,attempts,status,port,protocol
2020-09-21T03:56:14.224636,26.255.49.163,Tokyo,jrodriguez,ssh,1,Success,22,SSH2
1976-12-09T19:06:28.316912,95.218.225.228,New York,ubuntu,cron,1,Success,2222,RDP
1993-10-23T09:57:54.321129,41.246.102.136,Berlin,admin,su,2,Failed,2222,TELNET
2021-05-04T01:48:43.580176,152.9.92.102,New York,nginx,su,1,Success,80,N/A
2014-12-31T13:06:58.332040,199.44.129.2,New York,ec2-user,cron,1,Success,2222,SSH2
1973-09-04T06:29:12.352307,78.37.211.125,Singapore,admin,login,29,Failed,22,SSH2
2001-01-23T16:22:25.010816,63.69.135.202,Berlin,cruzcorey,su,1,Success,2222,TELNET
2014-01-02T00:36:11.941707,182.243.189.180,Tokyo,admin,ssh,1,Success,2222,SSH2
2025-03-06T04:43:38.065780,121.85.40.122,London,omiller,ssh,1,Success,22,RDP
1994-01-26T22:47:27.697993,36.22.63.163,New York,ec2-user,ssh,2,Failed,80,TELNET
2015-11-19T22:52:08.838439,169.7.18.9,Berlin,ubuntu,su,2,Failed,22,SSH2
2020-05-29T00:47:58.802821,22.116.58.56,Singapore,ec2-user,su,1,Success,80,SSH2
1976-08-21T09:39:19.818861,45.67.73.227,Singapore,nginx,ssh,1,Failed,80,SSH2
2005-10-12T23:20:20.683463,198.183.68.218,New York,ubuntu,ssh,1,Success,2222,N/A
1990-03-10T08:09:09.088462,172.214.133.55,Tokyo,danielellis,ssh,1,Success,22,RDP
2005-08-20T06:35:42.273840,63.180.187.11,Singapore,zhernandez,su,1,Success,22,N/A
2007-12-03T06:46:19.721051,223.243.58.78,Tokyo,admin,cron,1,Success,22,SSH2
2025-09-20T10:54:27.134014,140.237.108.243,Singapore,ec2-user,ssh,5,Failed,443,N/A
2000-04-20T01:30:00.332650,204.19.224.9,Berlin,www-data,sudo,1,Success,80,RDP
1971-12-25T03:28:16.720176,108.28.48.53,London,ubuntu,cron,1,Failed,41885,TELNET
2010-02-01T15:02:34.794375,161.15.206.151,Berlin,meganaguilar,login,1,Success,2222,SSH2
2014-08-27T16:40:48.624853,8.161.114.127,London,root,sudo,1,Failed,22,SSH2
1973-09-14T20:56:22.589198,83.58.139.124,London,ubuntu,sudo,5,Failed,22,TELNET
2018-02-10T22:00:03.477843,167.95.43.194,New York,blakeshane,su,2,Success,22,N/A
1971-11-17T10:06:03.825376,68.227.13.24,London,william88,ssh,1,Success,443,SSH2
2011-09-12T12:04:56.382425,214.152.105.41,London,root,su,1,Success,22,RDP
1986-03-03T19:36:39.827492,221.94.243.90,New York,root,sudo,1,Success,2222,RDP
2016-02-03T17:09:38.575602,28.111.40.6,New York,ec2-user,ssh,1,Success,2222,SSH2
2003-11-28T14:01:33.190413,112.83.228.180,London,ubuntu,su,2,Failed,443,TELNET
2006-09-03T22:18:01.043396,75.165.96.250,Singapore,www-data,ssh,1,Success,80,TELNET
1973-08-30T21:51:09.564729,217.176.147.216,London,william45,sudo,1,Success,2222,SSH2
2013-02-13T17:04:10.443570,56.142.52.40,Singapore,admin,login,1,Success,443,TELNET
1973-06-23T08:42:14.807087,136.38.6.52,New York,ubuntu,sudo,1,Success,443,SSH2
1983-05-04T20:47:54.861125,186.176.84.119,New York,ec2-user,cron,1,Failed,2222,TELNET
1973-02-06T02:42:55.720714,90.190.81.56,New York,admin,cron,1,Failed,22,N/A
1977-11-12T20:08:10.779418,210.156.160.201,Singapore,www-data,cron,2,Failed,2222,TELNET
2007-08-07T13:08:30.500412,109.164.244.20,Tokyo,admin,login,1,Success,2222,N/A
1992-12-13T12:45:36.145843,152.191.106.21,Singapore,ec2-user,login,5,Failed,22,N/A
1995-08-13T22:07:56.387164,73.176.2.97,Tokyo,ec2-user,sudo,1,Failed,2222,TELNET
1971-02-17T10:04:53.210526,136.126.48.85,Singapore,ubuntu,ssh,4,Failed,22,SSH2
1980-11-19T05:16:09.857489,191.176.178.228,Singapore,daniel85,ssh,1,Failed,80,RDP
1976-03-13T01:27:25.646900,93.230.106.56,Tehran,www-data,sudo,1,Success,80,N/A
2004-04-17T06:48:57.973464,204.254.157.120,New York,ec2-user,cron,1,Success,22,N/A
2024-02-13T08:28:19.284162,185.123.255.79,Tokyo,nginx,sudo,4,Failed,22,RDP
1986-05-27T05:07:01.265465,179.227.193.221,Tokyo,susanhughes,login,1,Success,443,RDP
1998-12-21T18:43:32.903104,163.6.170.135,Berlin,admin,ssh,4,Failed,22,TELNET
1972-02-18T12:32:52.218127,55.199.254.95,Tokyo,nginx,su,1,Success,22,SSH2
2012-03-27T06:27:57.571440,18.105.46.143,London,ec2-user,login,2,Failed,22,SSH2
1984-04-03T22:39:24.975725,77.210.155.50,Berlin,wintersbill,sudo,1,Success,22,RDP
1982-10-27T07:48:57.764908,189.113.140.222,Tokyo,root,su,1,Failed,22,SSH2
1998-04-23T03:29:01.807645,205.42.95.189,Tokyo,root,sudo,1,Failed,22,RDP
1993-10-11T21:27:36.382985,1.43.6.63,Tokyo,ubuntu,cron,3,Failed,443,SSH2
2022-03-27T15:15:16.312683,38.89.121.13,Tokyo,ubuntu,sudo,1,Success,22,SSH2
1993-03-05T12:27:24.029065,104.125.192.43,London,www-data,ssh,1,Failed,2222,TELNET
1971-09-07T09:24:13.660689,218.98.75.255,Singapore,ajordan,ssh,4,Failed,2222,SSH2
2010-05-02T13:30:35.915048,68.128.71.42,Singapore,ec2-user,ssh,1,Success,22,SSH2
1976-10-10T17:10:00.401603,150.27.197.200,Tokyo,nginx,login,1,Success,80,RDP
1989-06-02T16:54:59.342203,78.192.103.242,Berlin,www-data,cron,4,Success,2222,TELNET
2015-09-20T07:37:23.961305,73.43.174.158,Tokyo,root,cron,1,Failed,22,N/A
1981-08-11T08:38:37.433962,102.126.37.6,Tokyo,ec2-user,ssh,1,Success,80,TELNET
2011-10-03T02:59:54.081371,33.147.221.163,Berlin,root,su,1,Success,2222,SSH2
2022-01-26T03:33:34.857559,114.69.43.195,Berlin,admin,su,1,Success,80,SSH2
2009-06-29T11:10:13.293228,120.57.54.162,London,shawnwoods,ssh,4,Failed,443,TELNET
2023-12-14T21:03:28.765099,62.75.179.93,Singapore,ec2-user,ssh,1,Failed,80,SSH2
2023-08-22T10:53:42.432916,52.237.78.228,Tokyo,www-data,sudo,2,Failed,2222,RDP
1980-04-10T09:54:08.607927,199.52.133.108,Berlin,root,login,4,Failed,22,TELNET
1999-10-07T17:11:32.165045,56.26.8.117,Singapore,nginx,ssh,1,Success,22,RDP
1987-08-20T13:14:54.327204,114.241.111.181,Singapore,sonyabrock,cron,4,Failed,80,RDP
1986-04-01T06:24:15.646815,34.245.218.91,New York,admin,su,1,Failed,22,TELNET
2009-03-13T04:23:26.151011,83.41.38.171,Berlin,carolynlong,sudo,1,Failed,443,TELNET
2002-12-30T03:55:07.496936,54.177.45.177,Tokyo,jyang,login,3,Failed,443,SSH2
1974-09-20T23:07:46.947568,27.208.242.11,New York,nginx,su,2,Failed,2222,SSH2
2005-07-24T09:09:36.566211,14.5.221.77,Singapore,www-data,su,1,Failed,22,RDP
1992-10-23T06:36:42.189770,52.133.223.173,Singapore,ec2-user,ssh,1,Success,22,SSH2
2023-02-28T19:15:46.286611,75.222.140.19,London,sharris,cron,1,Success,22,N/A
2008-06-01T08:54:58.890714,167.35.125.66,Singapore,hillangela,sudo,1,Success,2222,TELNET
2021-10-25T23:54:08.943547,99.95.166.130,London,nginx,ssh,1,Success,443,RDP
1994-02-06T01:14:12.620814,119.65.81.172,London,ec2-user,cron,1,Failed,2222,TELNET
1988-12-31T23:57:56.338644,13.175.149.199,New York,ubuntu,su,5,Failed,2222,SSH2
1995-10-25T08:42:40.972763,158.238.48.188,Tokyo,nginx,sudo,1,Success,2222,TELNET
2012-02-24T00:46:21.838267,60.189.221.44,Berlin,nginx,cron,1,Failed,22,TELNET
1976-05-22T14:39:57.414564,192.147.70.48,Berlin,tsmith,login,3,Success,443,SSH2
2000-06-07T23:24:32.429424,111.138.255.88,Singapore,root,login,3,Failed,22,RDP
1975-03-03T00:25:33.336326,23.111.131.243,Singapore,ubuntu,ssh,4,Success,443,N/A
2000-05-09T01:25:36.949230,33.98.54.71,Berlin,admin,login,1,Success,80,TELNET
1970-01-06T03:54:06.028152,57.91.233.249,New York,nelsonelizabeth,login,1,Success,22,TELNET
1994-10-26T09:53:02.993500,187.82.130.151,New York,root,sudo,1,Success,80,RDP
1974-10-05T07:23:22.581820,80.204.149.103,Berlin,monica39,cron,1,Failed,22,RDP
1987-01-22T19:20:05.435275,47.240.99.0,New York,admin,cron,3,Failed,22,TELNET
2019-09-21T00:20:42.160585,178.45.209.76,Singapore,ec2-user,su,1,Success,2222,SSH2
1993-02-26T18:27:55.728890,40.154.88.137,Tokyo,ubuntu,sudo,1,Success,2222,RDP
2002-01-15T15:03:51.544186,134.189.87.9,New York,www-data,sudo,1,Success,22,SSH2
1992-12-06T16:29:48.975302,153.209.132.58,Berlin,nginx,su,1,Success,443,SSH2
2011-05-22T14:02:46.137269,216.234.105.42,New York,admin,login,1,Failed,2222,RDP
1978-10-08T10:06:09.137758,152.105.79.247,Tokyo,scott92,cron,1,Failed,22,N/A
1992-05-25T04:52:39.181698,25.145.23.59,Tokyo,ubuntu,cron,1,Success,80,N/A
1989-10-06T17:00:14.272257,29.72.143.82,Singapore,admin,cron,1,Failed,22,TELNET
1982-03-03T21:30:09.684282,26.47.6.6,Tokyo,admin,sudo,1,Failed,22,RDP
1997-07-03T19:35:36.554025,202.227.81.147,London,root,cron,1,Success,2222,RDP
1986-10-04T07:47:44.247604,177.173.79.22,Moscow,www-data,cron,1,Failed,2222,TELNET
2019-07-14T10:24:45.999418,117.175.185.86,London,ubuntu,login,1,Success,443,TELNET
1996-04-27T18:23:08.882889,208.82.210.100,New York,www-data,cron,2,Failed,2222,SSH2
2017-03-28T06:06:33.730924,192.133.53.54,New York,www-data,su,1,Success,22,SSH2
2008-04-23T13:21:01.758309,188.164.201.44,Berlin,admin,cron,1,Failed,2222,TELNET
1970-05-11T23:08:59.904707,64.61.72.61,Caracas,ec2-user,su,3,Success,2222,N/A
2025-10-21T01:54:40.810867,217.92.96.94,London,www-data,cron,1,Success,80,SSH2
2010-08-03T11:26:54.837214,116.155.86.79,Tokyo,ec2-user,sudo,3,Failed,443,TELNET
1988-06-07T04:42:42.791017,110.191.82.223,New York,danielmurray,cron,2,Failed,22,TELNET
1978-03-27T07:38:25.492367,45.94.15.217,Berlin,thernandez,sudo,1,Success,2222,N/A
2020-10-26T12:50:15.540457,28.113.170.67,Berlin,ubuntu,ssh,1,Failed,22,N/A
2010-09-27T04:23:47.516694,167.7.66.29,New York,yroman,ssh,2,Failed,22,N/A
2022-06-22T21:30:00.119280,131.47.208.19,London,ubuntu,cron,1,Success,2222,RDP
2020-07-25T08:29:08.311780,69.107.5.112,London,nginx,sudo,1,Success,22,N/A
2007-10-27T01:22:57.288647,116.194.171.218,Berlin,michaelpaul,sudo,1,Failed,22,TELNET
2004-03-11T02:14:38.070644,146.52.0.175,Singapore,ec2-user,cron,2,Failed,2222,SSH2
2013-01-23T07:29:28.104704,221.42.116.34,London,ec2-user,login,1,Success,80,SSH2
1995-08-01T22:24:22.653394,155.143.6.50,Tokyo,admin,login,1,Success,22,TELNET
2002-06-06T21:43:47.252133,31.56.139.135,Singapore,www-data,ssh,5,Failed,2222,N/A
1982-01-10T01:58:26.780155,120.89.183.158,Tokyo,ubuntu,login,2,Failed,443,TELNET
2006-07-17T20:58:32.549727,91.96.42.194,Tokyo,martinadam,ssh,2,Failed,2222,N/A
2021-06-07T19:09:52.661663,26.221.54.241,Tokyo,tarasanders,su,1,Failed,443,RDP
2003-12-16T16:59:14.476575,133.122.206.143,New York,nginx,cron,2,Failed,443,TELNET
2014-05-14T13:53:21.019388,61.42.234.127,New York,ubuntu,ssh,1,Success,443,RDP
2019-11-16T14:56:03.985541,120.90.213.127,London,nginx,sudo,3,Failed,22,N/A
1980-08-12T12:02:11.013528,86.32.184.238,New York,admin,sudo,1,Success,80,SSH2
1980-06-25T15:43:20.397274,103.52.141.149,London,www-data,cron,3,Failed,22,TELNET
1987-06-06T22:39:14.418493,216.38.1.15,Tokyo,admin,su,3,Failed,443,SSH2
1996-11-28T23:35:23.901296,215.173.196.204,Singapore,nginx,login,2,Failed,22,RDP
1972-06-26T08:20:13.592415,204.148.37.206,Berlin,root,sudo,1,Success,22,N/A
1970-07-07T17:55:11.741730,30.5.185.17,Berlin,ubuntu,ssh,2,Failed,22,SSH2
