task_id,task_type,winner,status,latency_ms,proposals,refusals,result_pid,result_host
redis_cnp_20260909T162814Z_47940-task-38,detect.synthetic,redis-gamma,ok,50.347,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.972347}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-39,correlate.synthetic,redis-gamma,ok,33.359,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.969259}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-40,parse.synthetic,redis-alpha,ok,33.621,"{""redis-alpha"": 0.967696, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-41,route.synthetic,redis-beta,ok,32.82,"{""redis-alpha"": 0.821, ""redis-beta"": 0.970701, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-42,detect.synthetic,redis-gamma,ok,35.05,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.973838}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-43,correlate.synthetic,redis-gamma,ok,33.7,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.970785}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-44,parse.synthetic,redis-alpha,ok,32.968,"{""redis-alpha"": 0.968995, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-45,route.synthetic,redis-beta,ok,35.594,"{""redis-alpha"": 0.821, ""redis-beta"": 0.972002, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-46,detect.synthetic,redis-gamma,ok,41.199,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.975123}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-47,correlate.synthetic,redis-gamma,ok,34.001,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.972074}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-48,parse.synthetic,redis-alpha,ok,33.76,"{""redis-alpha"": 0.970106, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-49,route.synthetic,redis-beta,ok,32.707,"{""redis-alpha"": 0.821, ""redis-beta"": 0.973107, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-50,detect.synthetic,redis-gamma,ok,32.275,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.976227}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-51,correlate.synthetic,redis-gamma,ok,32.058,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.973184}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-52,parse.synthetic,redis-alpha,ok,30.353,"{""redis-alpha"": 0.971077, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-53,route.synthetic,redis-beta,ok,36.807,"{""redis-alpha"": 0.821, ""redis-beta"": 0.97408, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-54,detect.synthetic,redis-gamma,ok,45.004,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.97719}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-55,correlate.synthetic,redis-gamma,ok,39.963,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.97415}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-56,parse.synthetic,redis-alpha,ok,43.161,"{""redis-alpha"": 0.971926, ""redis-beta"": 0.809, ""redis-gamma"": 0.785}",{},45400,andy-aaron
redis_cnp_20260909T162814Z_47940-task-57,route.synthetic,redis-beta,ok,40.533,"{""redis-alpha"": 0.821, ""redis-beta"": 0.974919, ""redis-gamma"": 0.803}",{},22104,andy-aaron
redis_cnp_20260909T162814Z_47940-task-58,detect.synthetic,redis-gamma,ok,38.081,"{""redis-alpha"": 0.785, ""redis-beta"": 0.839, ""redis-gamma"": 0.978012}",{},34288,andy-aaron
redis_cnp_20260909T162814Z_47940-task-59,correlate.synthetic,redis-gamma,ok,34.988,"{""redis-alpha"": 0.791, ""redis-beta"": 0.821, ""redis-gamma"": 0.974987}",{},34288,andy-aaron
