index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
23,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.961998,0.845,0.845,agent-alpha
24,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.962306,0.845,0.845,agent-alpha
25,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.962591,0.845,0.845,agent-alpha
26,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.962855,0.845,0.845,agent-alpha
27,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.963102,0.845,0.845,agent-alpha
28,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.963331,0.845,0.845,agent-alpha
29,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.963546,0.845,0.845,agent-alpha
30,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.963748,0.845,0.845,agent-alpha
31,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.963937,0.845,0.845,agent-alpha
32,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964116,0.845,0.845,agent-alpha
33,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964284,0.845,0.845,agent-alpha
34,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964443,0.845,0.845,agent-alpha
35,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964593,0.845,0.845,agent-alpha
36,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964735,0.845,0.845,agent-alpha
37,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.96487,0.845,0.845,agent-alpha
38,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.964998,0.845,0.845,agent-alpha
39,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.96512,0.845,0.845,agent-alpha
40,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965236,0.845,0.845,agent-alpha
41,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965347,0.845,0.845,agent-alpha
42,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965453,0.845,0.845,agent-alpha
43,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965554,0.845,0.845,agent-alpha
44,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.96565,0.845,0.845,agent-alpha
45,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965743,0.845,0.845,agent-alpha
46,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965831,0.845,0.845,agent-alpha
47,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965916,0.845,0.845,agent-alpha
48,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.965998,0.845,0.845,agent-alpha
49,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966077,0.845,0.845,agent-alpha
50,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966152,0.845,0.845,agent-alpha
51,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966225,0.845,0.845,agent-alpha
52,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966294,0.845,0.845,agent-alpha
53,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966362,0.845,0.845,agent-alpha
54,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966427,0.845,0.845,agent-alpha
55,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966489,0.845,0.845,agent-alpha
56,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.96655,0.845,0.845,agent-alpha
57,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966608,0.845,0.845,agent-alpha
58,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966665,0.845,0.845,agent-alpha
59,1,agent-alpha,0,ma_20260909T153914Z_47116,ok,0.966719,0.845,0.845,agent-alpha
60,2,agent-gamma,2,ma_20260909T153914Z_47116,ok,0.966772,0.845,0.845,agent-gamma
61,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.963649,0.836665,0.903332,agent-gamma
62,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.960623,0.836665,0.919998,agent-gamma
63,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.95769,0.836665,0.929998,agent-gamma
64,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.954846,0.836665,0.936665,agent-gamma
65,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.952087,0.836665,0.941427,agent-gamma
66,2,agent-gamma,1,ma_20260909T153914Z_47116,ok,0.949409,0.836665,0.944998,agent-gamma
67,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.947776,agent-gamma
68,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.949998,agent-gamma
69,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.951816,agent-gamma
70,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.953332,agent-gamma
71,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.954614,agent-gamma
72,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.955713,agent-gamma
73,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.956665,agent-gamma
74,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.957498,agent-gamma
75,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.958233,agent-gamma
76,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.958887,agent-gamma
77,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.959472,agent-gamma
78,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.959998,agent-gamma
79,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.960474,agent-gamma
80,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.960907,agent-gamma
81,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.961302,agent-gamma
82,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.961665,agent-gamma
83,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.961998,agent-gamma
84,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.962306,agent-gamma
85,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.962591,agent-gamma
86,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.962855,agent-gamma
87,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.963102,agent-gamma
88,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.963331,agent-gamma
89,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.963546,agent-gamma
90,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.963748,agent-gamma
91,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.963937,agent-gamma
92,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964116,agent-gamma
93,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964284,agent-gamma
94,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964442,agent-gamma
95,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964593,agent-gamma
96,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964735,agent-gamma
97,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.96487,agent-gamma
98,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.964998,agent-gamma
99,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.96512,agent-gamma
100,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965236,agent-gamma
101,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965347,agent-gamma
102,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965453,agent-gamma
103,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965554,agent-gamma
104,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.96565,agent-gamma
105,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965743,agent-gamma
106,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965831,agent-gamma
107,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965916,agent-gamma
108,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.965998,agent-gamma
109,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966076,agent-gamma
110,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966152,agent-gamma
111,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966224,agent-gamma
112,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966294,agent-gamma
113,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966362,agent-gamma
114,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966427,agent-gamma
115,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966489,agent-gamma
116,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.96655,agent-gamma
117,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966608,agent-gamma
118,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966665,agent-gamma
119,2,agent-gamma,0,ma_20260909T153914Z_47116,ok,0.946809,0.836665,0.966719,agent-gamma
