dataset;subtype;filepath;lineno;recno;timestamp_iso;severity;event;source;component;host;pid;tid;session;user;uid;gid;auid;euid;egid;exe;path;path_all;exec_args;exec_args_all;exec_env_all;src_ip;src_port;dst_ip;dst_port;proto;length;flags;http_method;http_url;http_status;bytes_sent;user_agent;referrer;category;subcategory;message;wazuh_rule_level;wazuh_rule_id;wazuh_decoder;wazuh_groups;wazuh_rule_description
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;11;11;;INFO;503;ossec; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: Agent started: 'machine-1->any'.;3;503;ossec;"[""ossec""]";Wazuh agent started.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;12;12;;WARNING;510;rootcheck; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;13;13;;INFO;52002;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;"Oct  7 22:16:06 sohaib-virtual-machine kernel: [   80.888915] audit: type=1400 audit(1696698966.552:44): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/snap/snapd/20092/usr/lib/snapd/snap-confine"" pid=1287 comm=""snap-confine"" capability=12  capname=""net_admin""";3;52002;kernel;"[""local"",""syslog"",""apparmor""]";Apparmor DENIED
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;14;14;;WARNING;40704;systemd;systemd;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;systemd;Oct  7 22:16:09 sohaib-virtual-machine systemd[1115]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE;5;40704;systemd;"[""local"",""systemd""]";Systemd: Service exited due to a failure.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;15;15;;INFO;52002;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;"Oct  7 22:20:43 sohaib-virtual-machine kernel: [  358.018420] audit: type=1400 audit(1696699243.684:46): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/snap/snapd/20092/usr/lib/snapd/snap-confine"" pid=3597 comm=""snap-confine"" capability=12  capname=""net_admin""";3;52002;kernel;"[""local"",""syslog"",""apparmor""]";Apparmor DENIED
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;16;16;;INFO;5402;sudo;sudo;machine-1; ;; ;sohaib; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;sudo;"Oct  7 22:22:29 sohaib-virtual-machine sudo:   sohaib : TTY=pts/0 ; PWD=/home/sohaib ; USER=root ; COMMAND=/usr/bin/systemctl start ssh";3;5402;sudo;"[""syslog"",""sudo""]";Successful sudo to ROOT executed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;17;17;;INFO;5501;pam;sudo;machine-1; ;; ; ;1000; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  7 22:22:29 sohaib-virtual-machine sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000);3;5501;pam;"[""pam"",""syslog"",""authentication_success""]";PAM: Login session opened.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;18;18;;INFO;5502;pam;sudo;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  7 22:22:29 sohaib-virtual-machine sudo: pam_unix(sudo:session): session closed for user root;3;5502;pam;"[""pam"",""syslog""]";PAM: Login session closed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;19;19;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;20;20;;INFO;502;ossec; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: Manager started.;3;502;ossec;"[""ossec""]";Wazuh server started.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;21;21;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;22;22;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;23;23;;INFO;5501;pam;sshd;machine-1; ;; ; ;0; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  8 00:05:06 sohaib-virtual-machine sshd[5184]: pam_unix(sshd:session): session opened for user sohaib(uid=1000) by (uid=0);3;5501;pam;"[""pam"",""syslog"",""authentication_success""]";PAM: Login session opened.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;24;24;;INFO;5501;pam;sshd;machine-1; ;; ; ;0; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  8 00:05:06 sohaib-virtual-machine sshd[5184]: pam_unix(sshd:session): session opened for user sohaib(uid=1000) by (uid=0);3;5501;pam;"[""pam"",""syslog"",""authentication_success""]";PAM: Login session opened.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;25;25;;INFO;5402;sudo;sudo;machine-1; ;; ;sohaib; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;sudo;"Oct  8 00:08:01 sohaib-virtual-machine sudo:   sohaib : TTY=pts/1 ; PWD=/home/sohaib ; USER=root ; COMMAND=/bin/bash";3;5402;sudo;"[""syslog"",""sudo""]";Successful sudo to ROOT executed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;26;26;;INFO;5501;pam;sudo;machine-1; ;; ;sohaib;1000; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  8 00:08:03 sohaib-virtual-machine sudo: pam_unix(sudo:session): session opened for user root(uid=0) by sohaib(uid=1000);3;5501;pam;"[""pam"",""syslog"",""authentication_success""]";PAM: Login session opened.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;27;27;;INFO;5402;sudo;sudo;machine-1; ;; ;sohaib; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;sudo;"Oct  8 00:23:43 sohaib-virtual-machine sudo:   sohaib : TTY=pts/3 ; PWD=/home/sohaib ; USER=root ; COMMAND=/usr/bin/systemctl status wazuh-agent";3;5402;sudo;"[""syslog"",""sudo""]";Successful sudo to ROOT executed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;28;28;;INFO;5501;pam;sudo;machine-1; ;; ;sohaib;1000; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;authentication;pam;Oct  8 00:23:43 sohaib-virtual-machine sudo: pam_unix(sudo:session): session opened for user root(uid=0) by sohaib(uid=1000);3;5501;pam;"[""pam"",""syslog"",""authentication_success""]";PAM: Login session opened.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;29;29;;INFO;5715;sshd;sshd;machine-1; ;; ; ; ; ; ;;; ; ;; ;;;192.168.204.1;52676;;; ;;;; ;;;;;authentication;sshd;Oct  8 00:23:20 sohaib-virtual-machine sshd[5537]: Accepted password for sohaib from 192.168.204.1 port 52676 ssh2;3;5715;sshd;"[""syslog"",""sshd"",""authentication_success""]";sshd: authentication success.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;30;30;;INFO;2901;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:34:52 install libauparse0:amd64 <none> 1:3.0.7-1build1;3;2901;dpkg-decoder;"[""syslog"",""dpkg""]";New dpkg (Debian Package) requested to install.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;31;31;;WARNING;2904;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:34:54 status half-configured auditd:amd64 1:3.0.7-1build1;7;2904;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";Dpkg (Debian Package) half configured.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;32;32;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:34:59 status installed auditd:amd64 1:3.0.7-1build1;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;33;33;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:35:01 status installed libc-bin:amd64 2.35-0ubuntu3.4;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;34;34;;INFO;52002;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;"Oct  7 23:20:50 sohaib-virtual-machine kernel: [   59.245274] audit: type=1400 audit(1696702850.348:44): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/snap/snapd/20092/usr/lib/snapd/snap-confine"" pid=1244 comm=""snap-confine"" capability=12  capname=""net_admin""";3;52002;kernel;"[""local"",""syslog"",""apparmor""]";Apparmor DENIED
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;35;35;;WARNING;510;rootcheck; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;36;36;;WARNING;40704;systemd;systemd;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;systemd;Oct  7 23:20:56 sohaib-virtual-machine systemd[1189]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE;5;40704;systemd;"[""local"",""systemd""]";Systemd: Service exited due to a failure.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;37;37;;WARNING;31164;web-accesslog; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;;192.168.204.1; ;;;GET;;;;/DVWA/vulnerabilities/sqli/?id=%27&Submit=Submit;;;;;web_attack;web-accesslog;"192.168.204.1 - - [08/Oct/2023:00:25:01 +0500] ""GET /DVWA/vulnerabilities/sqli/?id=%27&Submit=Submit HTTP/1.1"" 500 295 ""http://192.168.204.130/DVWA/vulnerabilities/sqli/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.55""";6;31164;web-accesslog;"[""web"",""accesslog"",""attack"",""sqlinjection"",""attack""]";SQL injection attempt.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;38;38;;INFO;52002;kernel;kernel;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;kernel;"Oct  8 00:02:14 sohaib-virtual-machine kernel: [ 2543.768453] audit: type=1400 audit(1696705334.832:46): apparmor=""DENIED"" operation=""capable"" class=""cap"" profile=""/usr/sbin/cupsd"" pid=5162 comm=""cupsd"" capability=12  capname=""net_admin""";3;52002;kernel;"[""local"",""syslog"",""apparmor""]";Apparmor DENIED
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;39;39;;INFO;502;ossec; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: Manager started.;3;502;ossec;"[""ossec""]";Wazuh server started.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;40;40;;WARNING;510;rootcheck; ;ubuntu; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;rootcheck;Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).;7;510;rootcheck;"[""ossec"",""rootcheck""]";Host-based anomaly detection event (rootcheck).
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;41;41;;INFO;2901;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 01:50:28 install p7zip:amd64 <none> 16.02+dfsg-8;3;2901;dpkg-decoder;"[""syslog"",""dpkg""]";New dpkg (Debian Package) requested to install.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;42;42;;WARNING;2904;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 01:50:28 status half-configured p7zip:amd64 16.02+dfsg-8;7;2904;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";Dpkg (Debian Package) half configured.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;43;43;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 01:50:28 status installed p7zip:amd64 16.02+dfsg-8;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;44;44;;WARNING;202;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: '90%'.;7;202;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is 90% full.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;45;45;;WARNING;203;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: 'full'.;9;203;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is full. Events may be lost.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;46;46;;INFO;591;ossec; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;ossec;ossec: File rotated (inode changed): '/var/log/audit/audit.log'.;3;591;ossec;"[""ossec""]";Log file rotated.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;47;47;;WARNING;203;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: 'full'.;9;203;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is full. Events may be lost.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;48;48;;WARNING;202;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: '90%'.;7;202;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is 90% full.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;49;49;;WARNING;202;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: '90%'.;7;202;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is 90% full.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;50;50;;INFO;205;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: 'normal'.;3;205;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is back to normal load.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;51;51;;INFO;205;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: 'normal'.;3;205;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is back to normal load.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;52;52;;INFO;205;wazuh; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;wazuh;wazuh;wazuh: Agent buffer: 'normal'.;3;205;wazuh;"[""wazuh"",""agent_flooding""]";Agent event queue is back to normal load.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;53;53;;INFO;19015;sca; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;security_configuration;sca; ;3;19015;sca;"[""sca""]";CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure only authorized groups are assigned ownership of audit log files.: Status changed from 'not applicable' to passed
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;54;54;;INFO;2901;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 install binutils:amd64 <none> 2.38-4ubuntu2.3;3;2901;dpkg-decoder;"[""syslog"",""dpkg""]";New dpkg (Debian Package) requested to install.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;55;55;;WARNING;2904;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 status half-configured libctf-nobfd0:amd64 2.38-4ubuntu2.3;7;2904;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";Dpkg (Debian Package) half configured.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;56;56;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 status installed libctf-nobfd0:amd64 2.38-4ubuntu2.3;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;57;57;;WARNING;2904;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 status half-configured binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3;7;2904;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";Dpkg (Debian Package) half configured.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;58;58;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 status installed binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;59;59;;WARNING;2904;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:40:33 status half-configured man-db:amd64 2.10.2-1;7;2904;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";Dpkg (Debian Package) half configured.
06-20-October;wazuh;E:\Cours\TFE\data\raw\Datasets\06-20-October.csv;60;60;;WARNING;2902;dpkg-decoder; ;machine-1; ;; ; ; ; ; ;;; ; ;; ;;; ; ;;; ;;;; ;;;;;package;dpkg-decoder;2023-10-08 00:50:41 status installed vim:amd64 2:8.2.3995-1ubuntu2.11;7;2902;dpkg-decoder;"[""syslog"",""dpkg"",""config_changed""]";New dpkg (Debian Package) installed.
