feature,seeds,precision_n,precision_mean,precision_sample_std,precision_median,precision_min,precision_max,precision_ci95_low,precision_ci95_high,recall_n,recall_mean,recall_sample_std,recall_median,recall_min,recall_max,recall_ci95_low,recall_ci95_high,f1_n,f1_mean,f1_sample_std,f1_median,f1_min,f1_max,f1_ci95_low,f1_ci95_high,pr_auc_n,pr_auc_mean,pr_auc_sample_std,pr_auc_median,pr_auc_min,pr_auc_max,pr_auc_ci95_low,pr_auc_ci95_high,mcc_n,mcc_mean,mcc_sample_std,mcc_median,mcc_min,mcc_max,mcc_ci95_low,mcc_ci95_high,fpr_n,fpr_mean,fpr_sample_std,fpr_median,fpr_min,fpr_max,fpr_ci95_low,fpr_ci95_high
Bwd IAT Std,"42,43,44,45,46",5,0.21550393151750394,0.05393186939395996,0.22338204592901878,0.139186295503212,0.27808471454880296,0.16823056367903827,0.2627772993559696,5,0.010780000000000001,0.003384080377296024,0.0107,0.0065,0.0151,0.00781372276413684,0.013746277235863164,5,0.020529009279930278,0.006379742900941131,0.020421795972898178,0.012419986624629788,0.028644598311675994,0.014936918068183657,0.0261211004916769,5,0.48257454192091653,0.0007718576017189623,0.4826189147106954,0.4814491768152664,0.4835133544668069,0.48189797890289027,0.4832511049389428,5,-0.09006553599397123,0.014363416187973762,-0.0866616765292757,-0.11158016147090254,-0.07414454225562242,-0.10265562538825987,-0.07747544659968258,5,0.03862,0.0012497999839974404,0.039,0.0372,0.0402,0.0375245020127814,0.0397154979872186
Bwd IAT Tot,"42,43,44,45,46",5,0.0963713670840586,0.010119973294437644,0.1,0.08241758241758242,0.10628019323671498,0.08750081938305534,0.10524191478506187,5,0.0018800000000000002,0.00032710854467592253,0.0019,0.0015,0.0022,0.0015932767187687754,0.0021667232812312247,5,0.00368773461283792,0.0006365895513425264,0.003729146221786065,0.0029463759575721863,0.004310767120603507,0.003129739268695271,0.004245729956980569,5,0.4835417138801373,0.0007764649813578246,0.48377347537910004,0.48242958710098993,0.4844216554706627,0.4828611123157953,0.48422231544447925,5,-0.07979516198469146,0.0016379419380811039,-0.08003463744082517,-0.08202389726564413,-0.07804193672215476,-0.08123088139525632,-0.0783594425741266,5,0.01752,0.0011713240371477058,0.0171,0.0163,0.019,0.01649328921306923,0.01854671078693077
Bwd PSH Flags,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Pkt Len Max,"42,43,44,45,46",5,0.3465632325627069,0.014056832263276874,0.3504410585404972,0.32308904649330183,0.360062893081761,0.33424187582701914,0.3588845892983946,5,0.04314,0.0017938784797192921,0.043,0.041,0.0458,0.04156759618418168,0.04471240381581831,5,0.07672618840071646,0.0031416463298439778,0.07666250668568372,0.072765995208093,0.08126330731014904,0.07397241397683726,0.07947996282459566,5,0.5213908878770042,0.0009245144223595476,0.5213009259259259,0.5202021791767555,0.5227008695652174,0.5205805152559309,0.5222012604980775,5,-0.07907800341116651,0.00757103229631918,-0.07713300091981258,-0.0920947870534153,-0.07293915739602234,-0.0857143058179376,-0.07244170100439543,5,0.08136,0.0027409852243308465,0.081,0.0788,0.0859,0.0789574205195249,0.08376257948047511
Bwd Pkt Len Mean,"42,43,44,45,46",5,0.14292356666057998,0.013842076839404199,0.14389199868291078,0.12105107764983762,0.15897257896563693,0.13079045135360814,0.15505668196755182,5,0.04314,0.0017938784797192921,0.043,0.041,0.0458,0.04156759618418168,0.04471240381581831,5,0.06623622149553224,0.0035610777242634398,0.066671835025971,0.06125345484425189,0.07111249126620604,0.06311479924460382,0.06935764374646065,5,0.5116879010688243,0.0006923699653639897,0.5118109885194573,0.5105996696911811,0.5125258131280035,0.5110810120360362,0.5122947901016125,5,-0.30226041129821823,0.02385977790810458,-0.2983410030783071,-0.3422112146913466,-0.27980258959580867,-0.3231744287478015,-0.28134639384863497,5,0.26022,0.02202037692683757,0.2542,0.2423,0.2977,0.24091828859815795,0.27952171140184207
Bwd Pkt Len Min,"42,43,44,45,46",5,0.5000050002500125,1.1180898932466855e-05,0.5,0.5,0.5000250012500626,0.49999519975998796,0.500014800740037,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0.6666711112592641,9.938411180394382e-06,0.6666666666666666,0.6666666666666666,0.6666888896296543,0.666662399857773,0.6666798226607553,5,0.5000050002500125,1.1180898932466855e-05,0.5,0.5,0.5000250012500626,0.49999519975998796,0.500014800740037,5,0.0014142489190380348,0.003162356720074642,0.0,0.0,0.007071244595190174,-0.001357678962276513,0.004186176800352583,5,0.9999800000000001,4.472135954999087e-05,1.0,0.9999,1.0,0.9999408000000001,1.0000192
Bwd Pkt Len Std,"42,43,44,45,46",5,0.04781415063463522,0.001961879151511377,0.04766655581421129,0.04504504504504504,0.050385038503850385,0.046094487737238954,0.049533813532031484,5,0.04314,0.0017938784797192921,0.043,0.041,0.0458,0.04156759618418168,0.04471240381581831,5,0.045356355951391626,0.0018650850009133476,0.04521318542663372,0.04292744215265417,0.04798323729701414,0.043721536867815484,0.04699117503496777,5,0.52157,0.0008969392398596715,0.5215,0.5205,0.5229,0.5207837980920907,0.5223562019079092,5,-0.8199206156641236,0.007360556182066135,-0.8200392578225763,-0.8315596519497374,-0.8130854237297116,-0.8263724276224436,-0.8134688037058035,5,0.8591200000000001,0.007457010124708133,0.8591,0.8506,0.8692,0.8525836424332814,0.8656563575667188
Bwd Pkts/b Avg,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Pkts/s,"42,43,44,45,46",5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0.22643999999999997,0.0019073541883981551,0.2269,0.2238,0.2289,0.2247681303400085,0.22811186965999145,5,0.3692607296831928,0.0025366887481377744,0.36987529546010267,0.36574603693413954,0.37252827732118154,0.3670372239595836,0.371484235406802,5,0.6295695930697526,0.0004288033133101514,0.6298494986787513,0.629006935732843,0.6299189346353877,0.6291937303935974,0.6299454557459078,5,0.3573151946603278,0.0016973519201479697,0.35772610431693946,0.3549638353415815,0.3595020364183243,0.3558274001044531,0.3588029892162025,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Seg Size Avg,"42,43,44,45,46",5,0.14292356666057998,0.013842076839404199,0.14389199868291078,0.12105107764983762,0.15897257896563693,0.13079045135360814,0.15505668196755182,5,0.04314,0.0017938784797192921,0.043,0.041,0.0458,0.04156759618418168,0.04471240381581831,5,0.06623622149553224,0.0035610777242634398,0.066671835025971,0.06125345484425189,0.07111249126620604,0.06311479924460382,0.06935764374646065,5,0.5116879010688243,0.0006923699653639897,0.5118109885194573,0.5105996696911811,0.5125258131280035,0.5110810120360362,0.5122947901016125,5,-0.30226041129821823,0.02385977790810458,-0.2983410030783071,-0.3422112146913466,-0.27980258959580867,-0.3231744287478015,-0.28134639384863497,5,0.26022,0.02202037692683757,0.2542,0.2423,0.2977,0.24091828859815795,0.27952171140184207
Bwd URG Flags,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWE Flag Count,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,"42,43,44,45,46",5,0.44407647731180777,0.0011212004015452933,0.44356891744453875,0.442769808122995,0.4454296993622836,0.4430937018286197,0.44505925279499586,5,0.7327600000000001,0.0011502173707608283,0.7328,0.7315,0.7343,0.7317517900218705,0.7337682099781296,5,0.5530103241542755,0.0011655733042811815,0.5526186795369707,0.5516383243467441,0.5542414509729832,0.5519886541069519,0.5540319942015992,5,0.45941761594721486,0.0007950572359201085,0.45908026808194236,0.45850632020727544,0.4603859503291903,0.45872071755321087,0.46011451434121886,5,-0.24289687492421824,0.005691118509772469,-0.24496608201012354,-0.2494285424337722,-0.23554424653752726,-0.2478853602437148,-0.2379083896047217,5,0.9173200000000001,0.0029961642144582055,0.918,0.9131,0.9206,0.91469374627273,0.9199462537272702
Dst Port,"42,43,44,45,46",5,0.9994403158205027,5.471205607520213e-05,0.9994003597841296,0.9994003597841296,0.9995002498750625,0.9993923585888862,0.9994882730521193,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0.9997200789775563,2.737107173299456e-05,0.9997000899730081,0.9997000899730081,0.9997500624843789,0.9996960871753676,0.999744070779745,5,0.9992276442127741,0.0001880438079075965,0.999235977235625,0.9990375175334554,0.9994148172749068,0.9990628165477802,0.999392471877768,5,0.9994401579102385,5.474215591738665e-05,0.9994001798920487,0.9994001798920487,0.9995001249375234,0.999392174294947,0.9994881415255301,5,0.00056,5.477225575051658e-05,0.0006,0.0005,0.0006,0.0005119900010414497,0.0006080099989585502
ECE Flag Cnt,"42,43,44,45,46",5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
FIN Flag Cnt,"42,43,44,45,46",5,0.49938924254429773,8.790369076701243e-05,0.49939927913496196,0.4992488733099649,0.4994744481705791,0.4993121915621107,0.49946629352648475,5,0.99756,0.00035071355833500936,0.9976,0.997,0.9979,0.9972525860120294,0.9978674139879706,5,0.6655813248748303,0.00015613954290333429,0.6655991459834534,0.665331998665332,0.6657326795423463,0.6654444625311225,0.6657181872185381,5,0.4993907574557023,8.745309001923187e-05,0.49940072086503806,0.499251126690035,0.4994755518294209,0.49931410144248517,0.4994674134689195,5,-0.034880684634815924,0.0024629126078556727,-0.03466181948594291,-0.03875891355636926,-0.032420728845011855,-0.0370395227202281,-0.03272184654940375,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Flow Byts/s,"42,43,44,45,46",5,0.4996246198034074,0.00020654434850850772,0.49964975482837987,0.49929894842263395,0.499799899949975,0.4994435756995831,0.4998056639072317,5,0.99842,0.0008288546314040885,0.9986,0.9971,0.9991,0.9976934768826802,0.9991465231173198,5,0.6659817615659949,0.000367774728097455,0.6660441539385047,0.6653987320653987,0.6662887629209736,0.6656593928033614,0.6663041303286283,5,0.9726002708038838,0.0008406614793442655,0.9723664338701524,0.971517474375747,0.9736180206511524,0.971863398528043,0.9733371430797245,5,-0.025203709934136155,0.0076575884748461,-0.026466778104640317,-0.036174985985944645,-0.01789301763370338,-0.031915882176538284,-0.018491537691734027,5,0.99992,4.472135954999087e-05,0.9999,0.9999,1.0,0.9998808,0.9999592
Flow Duration,"42,43,44,45,46",5,0.11904584796647977,0.005565307302292558,0.12,0.11052631578947368,0.12556053811659193,0.11416764103258774,0.1239240549003718,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.004743139249796884,0.0005541034776323273,0.004705882352941176,0.0041216879293424925,0.0054778440770810915,0.004257446137115356,0.005228832362478412,5,0.31005191716156133,0.00011522152912594416,0.31005000637589636,0.30992257407369594,0.3102236033593369,0.30995092103829525,0.3101529132848274,5,-0.07704190232091278,0.0020952729936337964,-0.07638287395970011,-0.0795213662177798,-0.07429166888445324,-0.07887849007622516,-0.0752053145656004,5,0.01786,0.0012660963628413125,0.0176,0.0165,0.0195,0.01675021760691566,0.01896978239308434
Flow IAT Max,"42,43,44,45,46",5,0.11904584796647977,0.005565307302292558,0.12,0.11052631578947368,0.12556053811659193,0.11416764103258774,0.1239240549003718,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.004743139249796884,0.0005541034776323273,0.004705882352941176,0.0041216879293424925,0.0054778440770810915,0.004257446137115356,0.005228832362478412,5,0.3101133052335414,0.00013355365584301516,0.3101095731678185,0.3099815515572462,0.31031095044313023,0.3099962402927228,0.31023037017436,5,-0.07704190232091278,0.0020952729936337964,-0.07638287395970011,-0.0795213662177798,-0.07429166888445324,-0.07887849007622516,-0.0752053145656004,5,0.01786,0.0012660963628413125,0.0176,0.0165,0.0195,0.01675021760691566,0.01896978239308434
Flow IAT Mean,"42,43,44,45,46",5,0.11928643029961386,0.005598023730831133,0.12,0.11052631578947368,0.12556053811659193,0.11437954615171006,0.12419331444751766,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.004743323754464677,0.0005541006831564527,0.004705882352941176,0.0041216879293424925,0.0054778440770810915,0.004257633091249252,0.005229014417680102,5,0.31000959334296396,0.00012026441510420493,0.31002052020303883,0.3098938824237218,0.31018220072176583,0.30990417693524464,0.3101150097506833,5,-0.0769163327683285,0.0021465556079078413,-0.07638287395970011,-0.0795213662177798,-0.07396832647435016,-0.07879787171698051,-0.0750347938196765,5,0.017820000000000003,0.0012755391017134677,0.0176,0.0164,0.0195,0.016701940681358992,0.018938059318641013
Flow IAT Min,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8712975951544284,0.0016820929466683867,0.8717394147367727,0.8690674261649213,0.8734277163739579,0.8698231756785249,0.8727720146303319,5,-0.012775219528199743,0.00292131676924295,-0.0122483673759202,-0.015813365095036138,-0.010000500037503125,-0.015335866577095967,-0.01021457247930352,5,0.00033999999999999997,0.000151657508881031,0.0003,0.0002,0.0005,0.00020706633233074474,0.0004729336676692552
Flow IAT Std,"42,43,44,45,46",5,0.12131883178196054,0.006236322170478155,0.12307692307692308,0.11170212765957446,0.12844036697247707,0.11585245438327149,0.1267852091806496,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.0047449521383844655,0.0005547961791186362,0.0047081902893575285,0.004122497055359246,0.00548052456449403,0.004258651846079229,0.005231252430689702,5,0.4376806458841864,0.0006316348869908675,0.4377873312003718,0.4367305061817234,0.43827133519367645,0.4371269934948318,0.43823429827354105,5,-0.07585689106149325,0.0019333555152594092,-0.07565014617009305,-0.0780102498718801,-0.07331808741635137,-0.07755155188935657,-0.07416223023362993,5,0.01748,0.0011777096416349829,0.0171,0.0162,0.019,0.016447691983950526,0.018512308016049472
Flow Pkts/s,"42,43,44,45,46",5,0.4353996656786866,0.0006578786957412136,0.4352761775669265,0.4344850986823503,0.436270364733074,0.4348230095767131,0.4359763217806601,5,0.77112,0.0020498780451529445,0.7707,0.7683,0.7739,0.7693232026714178,0.7729167973285822,5,0.5565517379040406,0.0010712176633099393,0.5563415866599293,0.5550698984936604,0.5579869497818956,0.5556127742226076,0.5574907015854735,5,0.3099741939489464,0.0001217805967758877,0.309988989243801,0.3098540749363594,0.3101516719530996,0.3098674485493957,0.31008093934849706,5,-0.3593469650860478,0.0018651847303567844,-0.3596314603668853,-0.36198038984909037,-0.3570143842114096,-0.3609818715863354,-0.3577120585857602,5,0.9999400000000002,8.944271909998174e-05,1.0,0.9998,1.0,0.9998616000000001,1.0000184
Fwd Act Data Pkts,"42,43,44,45,46",5,0.49946424313168897,0.0001811996632252997,0.49942428035043807,0.49927365626408854,0.4996996996996997,0.499305414624016,0.4996230716393619,5,0.9975999999999999,0.0006819090848492706,0.9976,0.9967,0.9984,0.9970022803332664,0.9981977196667334,5,0.6656568295859655,0.00031105295051319097,0.6656213511259382,0.6652871875312886,0.666044029352902,0.6653841796535214,0.6659294795184096,5,0.9687273036205859,0.0007914304345885665,0.9681971724213804,0.9681277240702825,0.9697834156982705,0.9680335842581146,0.9694210229830572,5,-0.028977223071910446,0.007089793700430046,-0.03254726033315235,-0.03547846809244318,-0.01898315991504998,-0.0351917012508701,-0.02276274489295079,5,0.9997400000000001,0.00015165750888101431,0.9997,0.9996,0.9999,0.9996070663323309,0.9998729336676693
Fwd Blk Rate Avg,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Byts/b Avg,"42,43,44,45,46",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Len,"42,43,44,45,46",5,0.020128781305648536,0.0007057997146936089,0.02001188825044581,0.019305019305019305,0.021259764659349353,0.01951012057855103,0.020747442032746043,5,0.02034,0.0007231873892705812,0.0202,0.0195,0.0215,0.01970609830415119,0.020973901695848812,5,0.02023383676076345,0.0007143907473151108,0.020105504130586243,0.01940201980000995,0.021379207477750708,0.019607645661554013,0.020860027859972888,5,0.40455738881397396,0.0007624864587999075,0.4042270780976177,0.40392294074983304,0.40578387760186696,0.4038890399648845,0.4052257376630634,5,-0.9698535215507776,0.0011615655797154022,-0.9699514524394781,-0.9711495347453117,-0.9683618270345835,-0.9708716786726321,-0.9688353644289232,5,0.9901399999999999,0.0006985699678629321,0.9901,0.9892,0.991,0.9895276764254088,0.990752323574591
Fwd IAT Max,"42,43,44,45,46",5,0.11893282905754692,0.005508576775286879,0.12,0.11052631578947368,0.12556053811659193,0.11410434862305024,0.12376130949204359,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.004743039571842936,0.0005540252843057696,0.004705882352941176,0.0041216879293424925,0.0054778440770810915,0.004257414998634088,0.005228664145051784,5,0.31532515834737396,0.00013671829374335587,0.31535278905416897,0.3151241128605424,0.3154571943648271,0.3152053194791314,0.31544499721561653,5,-0.07710261015537,0.002159743480987995,-0.07638287395970011,-0.0795213662177798,-0.07429166888445324,-0.07899570878445086,-0.07520951152628913,5,0.01788,0.0012853015210447702,0.0176,0.0165,0.0195,0.016753383543525128,0.019006616456474872
Fwd IAT Mean,"42,43,44,45,46",5,0.11928643029961386,0.005598023730831133,0.12,0.11052631578947368,0.12556053811659193,0.11437954615171006,0.12419331444751766,5,0.00242,0.00028635642126552705,0.0024,0.0021,0.0028,0.002168997529892632,0.0026710024701073675,5,0.004743323754464677,0.0005541006831564527,0.004705882352941176,0.0041216879293424925,0.0054778440770810915,0.004257633091249252,0.005229014417680102,5,0.3165223125889744,0.00021769841430593895,0.3164387673033872,0.31633253275206186,0.3168045259159333,0.31633149151540546,0.31671313366254333,5,-0.0769163327683285,0.0021465556079078413,-0.07638287395970011,-0.0795213662177798,-0.07396832647435016,-0.07879787171698051,-0.0750347938196765,5,0.017820000000000003,0.0012755391017134677,0.0176,0.0164,0.0195,0.016701940681358992,0.018938059318641013
