incident_id,start_time,end_time,host,user,source,category,subcategory,proto,dst_port,severity,priority,priority_score,event_count,min_anomaly_score,max_anomaly_rank,events,rationale,summary
INC-000035,,,machine-1,,syscheck_integrity_changed,file_integrity,syscheck_integrity_changed,,,WARNING,MEDIUM,42,1,0.0290084629094199,35,550,1 anomalie(s); categorie FILE_INTEGRITY; severite maximale WARNING; evenement(s) 550,1 anomalie(s) file_integrity sur machine-1 via syscheck_integrity_changed
INC-000038,,,machine-2,,ossec,wazuh,ossec,,,INFO,MEDIUM,32,1,0.0064854116379382,100,503,1 anomalie(s); categorie WAZUH; severite maximale INFO; evenement(s) 503,1 anomalie(s) wazuh sur machine-2 via ossec
INC-000001,2023-01-01T08:52:20.908771+00:00,2023-01-01T08:52:20.908771+00:00,vpn-thr-02,ubuntu,cron,UNKNOWN,UNKNOWN,SSH2,80,,LOW,4,1,0.6835465322513689,24,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 80,1 anomalie(s) UNKNOWN sur vpn-thr-02 via cron
INC-000002,2023-03-03T18:06:28.707041+00:00,2023-03-03T18:06:28.707041+00:00,srv-tok-03,admin,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,0.5233832054518123,6,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur srv-tok-03 via sudo
INC-000003,2023-05-16T03:03:31.551709+00:00,2023-05-16T03:03:31.551709+00:00,vpn-thr-02,root,ssh,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.8891359648234907,23,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur vpn-thr-02 via ssh
INC-000004,2023-06-23T14:36:59.187050+00:00,2023-06-23T14:36:59.187050+00:00,vpn-thr-02,www-data,su,UNKNOWN,UNKNOWN,TELNET,80,,LOW,4,1,0.5143094965271654,10,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 80,1 anomalie(s) UNKNOWN sur vpn-thr-02 via su
INC-000005,2023-10-02T11:33:55.236748+00:00,2023-10-02T11:33:55.236748+00:00,proxy-mow-01,root,ssh,UNKNOWN,UNKNOWN,TELNET,80,,LOW,4,1,0.5593966659378431,5,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 80,1 anomalie(s) UNKNOWN sur proxy-mow-01 via ssh
INC-000006,2023-11-15T07:04:08.360541+00:00,2023-11-15T07:04:08.360541+00:00,db-ber-01,www-data,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,0.9916666666666668,25,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur db-ber-01 via sudo
INC-000007,2024-02-07T10:13:10.598797+00:00,2024-02-07T10:13:10.598797+00:00,backup-prk-01,nginx,login,UNKNOWN,UNKNOWN,TELNET,49377,,LOW,4,1,0.993605217261045,3,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 49377,1 anomalie(s) UNKNOWN sur backup-prk-01 via login
INC-000008,2024-07-05T22:14:24.106463+00:00,2024-07-05T22:14:24.106463+00:00,db-ber-01,root,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,0.620585184510736,12,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur db-ber-01 via sudo
INC-000009,2024-08-29T03:15:26.138304+00:00,2024-08-29T03:15:26.138304+00:00,srv-nyc-01,root,sudo,UNKNOWN,UNKNOWN,RDP,80,,LOW,4,1,0.5824952151310785,19,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 80,1 anomalie(s) UNKNOWN sur srv-nyc-01 via sudo
INC-000010,2024-10-11T16:24:55.730499+00:00,2024-10-11T16:24:55.730499+00:00,web-sgp-02,admin,sudo,UNKNOWN,UNKNOWN,N/A,80,,LOW,4,1,0.6990748713176032,1,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 80,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
INC-000011,2024-10-15T01:06:28.834381+00:00,2024-10-15T01:06:28.834381+00:00,srv-tok-03,admin,sudo,UNKNOWN,UNKNOWN,TELNET,80,,LOW,4,1,0.7406715616297951,29,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 80,1 anomalie(s) UNKNOWN sur srv-tok-03 via sudo
INC-000012,2024-11-03T16:09:28.112997+00:00,2024-11-03T16:09:28.112997+00:00,backup-prk-01,ubuntu,login,UNKNOWN,UNKNOWN,RDP,23859,,LOW,4,1,0.9795268076306182,15,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 23859,1 anomalie(s) UNKNOWN sur backup-prk-01 via login
INC-000013,2024-12-10T19:13:30.468848+00:00,2024-12-10T19:13:30.468848+00:00,backup-prk-01,ubuntu,ssh,UNKNOWN,UNKNOWN,RDP,22,,LOW,4,1,0.685899374064464,18,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 22,1 anomalie(s) UNKNOWN sur backup-prk-01 via ssh
INC-000014,2025-01-27T18:00:58.015686+00:00,2025-01-27T18:00:58.015686+00:00,db-ber-01,ec2-user,sudo,UNKNOWN,UNKNOWN,TELNET,2222,,LOW,4,1,0.8279771828955498,17,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 2222,1 anomalie(s) UNKNOWN sur db-ber-01 via sudo
INC-000015,2025-03-25T08:12:29.759323+00:00,2025-03-25T08:12:29.759323+00:00,web-sgp-02,admin,sudo,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.6865452809805483,32,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
INC-000016,2025-04-12T14:08:34.546938+00:00,2025-04-12T14:08:34.546938+00:00,srv-nyc-01,yangkevin,sudo,UNKNOWN,UNKNOWN,TELNET,22,,LOW,4,1,0.658693781114044,16,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 22,1 anomalie(s) UNKNOWN sur srv-nyc-01 via sudo
INC-000017,2025-04-28T04:50:35.341177+00:00,2025-04-28T04:50:35.341177+00:00,web-sgp-02,www-data,sudo,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.68516478012377,31,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
INC-000018,2025-07-13T10:28:47.912263+00:00,2025-07-13T10:28:47.912263+00:00,proxy-mow-01,bullockarthur,su,UNKNOWN,UNKNOWN,RDP,22,,LOW,4,1,0.5638919093010754,30,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 22,1 anomalie(s) UNKNOWN sur proxy-mow-01 via su
INC-000019,2025-07-24T20:32:39.446898+00:00,2025-07-24T20:32:39.446898+00:00,srv-tok-03,www-data,sudo,UNKNOWN,UNKNOWN,N/A,2222,,LOW,4,1,0.739262818928648,11,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 2222,1 anomalie(s) UNKNOWN sur srv-tok-03 via sudo
INC-000020,2025-09-28T23:49:48.501400+00:00,2025-09-28T23:49:48.501400+00:00,monitor-car-01,ubuntu,ssh,UNKNOWN,UNKNOWN,TELNET,80,,LOW,4,1,0.5318693070817415,27,,1 anomalie(s); categorie UNKNOWN; protocole TELNET; port destination 80,1 anomalie(s) UNKNOWN sur monitor-car-01 via ssh
INC-000021,2025-11-06T01:00:43.719009+00:00,2025-11-06T01:00:43.719009+00:00,monitor-car-01,ec2-user,sudo,UNKNOWN,UNKNOWN,RDP,80,,LOW,4,1,0.5439114678408855,7,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 80,1 anomalie(s) UNKNOWN sur monitor-car-01 via sudo
INC-000022,2025-11-27T13:34:56.640554+00:00,2025-11-27T13:34:56.640554+00:00,backup-prk-01,ec2-user,sudo,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.7818927516822899,28,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur backup-prk-01 via sudo
INC-000023,2025-12-28T01:06:27.634449+00:00,2025-12-28T01:06:27.634449+00:00,vpn-thr-02,www-data,sudo,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.6058912860194081,20,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur vpn-thr-02 via sudo
INC-000024,2026-02-24T21:38:18.478420+00:00,2026-02-24T21:38:18.478420+00:00,backup-prk-01,nginx,sudo,UNKNOWN,UNKNOWN,SSH2,80,,LOW,4,1,0.7989177033421965,9,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 80,1 anomalie(s) UNKNOWN sur backup-prk-01 via sudo
INC-000025,2026-03-25T08:21:03.068716+00:00,2026-03-25T08:21:03.068716+00:00,web-sgp-02,admin,sudo,UNKNOWN,UNKNOWN,N/A,80,,LOW,4,1,0.5016719960041682,8,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 80,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
INC-000026,2026-05-01T23:00:49.745573+00:00,2026-05-01T23:00:49.745573+00:00,monitor-car-01,root,su,UNKNOWN,UNKNOWN,SSH2,22,,LOW,4,1,0.6342155462730379,14,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 22,1 anomalie(s) UNKNOWN sur monitor-car-01 via su
INC-000027,2026-07-04T02:02:01.657068+00:00,2026-07-04T02:02:01.657068+00:00,web-sgp-02,mysql,sudo,UNKNOWN,UNKNOWN,N/A,2222,,LOW,4,1,0.6723989903581021,2,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 2222,1 anomalie(s) UNKNOWN sur web-sgp-02 via sudo
INC-000028,2026-07-05T09:05:11.993476+00:00,2026-07-05T09:05:11.993476+00:00,vpn-thr-02,www-data,sudo,UNKNOWN,UNKNOWN,RDP,2222,,LOW,4,1,0.6048983248437688,13,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 2222,1 anomalie(s) UNKNOWN sur vpn-thr-02 via sudo
INC-000029,2026-07-19T12:13:35.324722+00:00,2026-07-19T12:13:35.324722+00:00,vpn-thr-02,douglas70,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,0.6180819299151866,26,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur vpn-thr-02 via sudo
INC-000030,2026-09-23T20:53:33.738134+00:00,2026-09-23T20:53:33.738134+00:00,vpn-thr-02,admin,cron,UNKNOWN,UNKNOWN,SSH2,80,,LOW,4,1,0.5841839259418026,21,,1 anomalie(s); categorie UNKNOWN; protocole SSH2; port destination 80,1 anomalie(s) UNKNOWN sur vpn-thr-02 via cron
INC-000031,2026-09-29T23:23:57.548062+00:00,2026-09-29T23:23:57.548062+00:00,vpn-thr-02,nginx,cron,UNKNOWN,UNKNOWN,RDP,22,,LOW,4,1,0.731751165186879,4,,1 anomalie(s); categorie UNKNOWN; protocole RDP; port destination 22,1 anomalie(s) UNKNOWN sur vpn-thr-02 via cron
INC-000032,2026-11-03T22:11:05.703191+00:00,2026-11-03T22:11:05.703191+00:00,srv-tok-03,ubuntu,sudo,UNKNOWN,UNKNOWN,N/A,22,,LOW,4,1,0.7070681779804711,22,,1 anomalie(s); categorie UNKNOWN; protocole N/A; port destination 22,1 anomalie(s) UNKNOWN sur srv-tok-03 via sudo
