category,dst_port,event,host,message,proto,severity,source,subcategory,timestamp_iso,user,end_to_end_run_id,condition,source_id,task_id,contract_id,agent_id,model,is_anomaly,anomaly_score,anomaly_rank
,22,,db-ber-01,Multiple failed login attempts for user www-data,N/A,,sudo,,2023-11-15T07:04:08.360541,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,3ea80d90065748da885489bc80a5056f,10eb6ed131ae4ec8b5f6174e5d26477b,agent-security,models/random_forest_linux_auth.joblib,1,0.9916666666666667,25
,22,,vpn-thr-02,User douglas70 success login via sudo,N/A,,sudo,,2026-07-19T12:13:35.324722,douglas70,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,ae85e71a93f84777b5b652e5a75d2356,dd2ad9e2db564918a5b4eb07c68117c6,agent-security,models/random_forest_linux_auth.joblib,1,0.6180819299151866,26
,80,,monitor-car-01,User ubuntu success login via ssh,TELNET,,ssh,,2025-09-28T23:49:48.501400,ubuntu,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,e373239fb1544f9aa8c21eb2fb7e7abd,0042d5d5a7e94634a6633ad0f0aa0658,agent-security,models/random_forest_linux_auth.joblib,1,0.5318693070817415,27
,22,,backup-prk-01,User ec2-user success login via sudo,SSH2,,sudo,,2025-11-27T13:34:56.640554,ec2-user,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,38b7a167c02a479b92786273b5b7be3f,50b2fe899a1742d0863c80be680142dd,agent-security,models/random_forest_linux_auth.joblib,1,0.7818927516822899,28
,80,,srv-tok-03,User admin success login via sudo,TELNET,,sudo,,2024-10-15T01:06:28.834381,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,3ed2a276ef3f47138e51700876c06e42,d34b15a880f1426998a61409ee761e27,agent-security,models/random_forest_linux_auth.joblib,1,0.7406715616297951,29
,22,,proxy-mow-01,User bullockarthur success login via su,RDP,,su,,2025-07-13T10:28:47.912263,bullockarthur,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,61eb3947bc8f4e97a8c0c8861bbcc2f8,f1df350d304d460ca5583c0d9634a138,agent-security,models/random_forest_linux_auth.joblib,1,0.5638919093010754,30
,22,,web-sgp-02,User www-data success login via sudo,SSH2,,sudo,,2025-04-28T04:50:35.341177,www-data,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,12969be01715452eb8f1560101e8bd9f,4154f54f2cca4a62935c8d35ce31d849,agent-security,models/random_forest_linux_auth.joblib,1,0.68516478012377,31
,22,,web-sgp-02,User admin success login via sudo,SSH2,,sudo,,2025-03-25T08:12:29.759323,admin,multisource_cnp_model_inference_20260911T003432Z,M,linux_auth,04e2486d16d5479fb185f2a86dd83a34,a04040eff2ee42209f2605a8c401ff14,agent-security,models/random_forest_linux_auth.joblib,1,0.6865452809805483,32
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,46722fb56fac48ba9bdf0d7b3a0c5502,b1db4b7f6c4f46269f54866869519563,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,33
package,,2902,machine-1,2023-10-06 23:24:49 status installed linux-modules-extra-6.2.0-26-generic:amd64 6.2.0-26.26~22.04.1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,59a2b51ee3904861b0e2e9fd0a28c45a,2316bc0d623c4f38915be6753fbbbc53,agent-security,models/isolation_forest_wazuh.joblib,1,0.016688926767728818,34
file_integrity,,550,machine-1,"File '/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID' modified
Mode: scheduled
Changed attributes: mtime,inode,md5,sha1,sha256
Old modification time was: '1696529162', now it is '1696536226'
Old inode was: '132851', now it is '132896'
Old md5sum was: '82b64f6e8ee3835c4eb0babb394d5f6a'
New md5sum is : 'a0711e9dfd26d2ba3cdd36d4d557cd73'
Old sha1sum was: '317938fbe5671eeccee445fa8184fa08731bd43d'
New sha1sum is : '4d0cc180e804d57cdecbc994213c175817474e9b'
Old sha256sum was: '4f9d402a5ef58d3dfe14c39c6b047c412f4093f4269f73189a04fd36ef77216e'
New sha256sum is : '6507f936a2fc6a88e310041d9367f42305647153ae93c757624f4d7ac9ae5293'
", ,WARNING,syscheck_integrity_changed,syscheck_integrity_changed,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,7d720bfd82cc4419b107314931be34a1,f8df057e64b440d68854334c6c031779,agent-security,models/isolation_forest_wazuh.joblib,1,0.02900846290941994,35
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,ce6136f0532c48e08ae7da300e9272fc,c5392c826b06402cb1bf83acc967de61,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,36
wazuh,,502,ubuntu,ossec: Manager started., ,INFO,ossec,ossec,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,15b2b03a6e3e42a787dc96d14794c562,85da219961a744ffa7271417a6703500,agent-security,models/isolation_forest_wazuh.joblib,1,0.006881975721342304,37
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,39546f6862934491ad9bf51af7f81ce1,ce8518a455b44490a731045ced5a821b,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,38
wazuh,,502,ubuntu,ossec: Manager started., ,INFO,ossec,ossec,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,9f44fb3356464706a54676e5222c565e,6917c69a839149219dce4cb027c0fc3a,agent-security,models/isolation_forest_wazuh.joblib,1,0.006881975721342304,39
authentication,,5402,machine-1,Oct  7 22:22:29 sohaib-virtual-machine sudo:   sohaib : TTY=pts/0 ; PWD=/home/sohaib ; USER=root ; COMMAND=/usr/bin/systemctl start ssh, ,INFO,sudo,sudo,,sohaib,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,5ab57169839549ff8cf73f3fba7245ae,608822fc341648498233546a4969ce23,agent-security,models/isolation_forest_wazuh.joblib,1,0.0010242702408235216,40
authentication,,5502,machine-1,Oct  7 22:22:29 sohaib-virtual-machine sudo: pam_unix(sudo:session): session closed for user root, ,INFO,pam,pam,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,cb9bb3ff4080487cb4160039905af239,be68e828a68d4f3fb6735e07a51c9123,agent-security,models/isolation_forest_wazuh.joblib,1,0.0005972307052269921,41
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,8ee24c1dc70d4704932f73bba998a8a0,7e7dcab1e85e4e75873673202e08d388,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,42
wazuh,,502,ubuntu,ossec: Manager started., ,INFO,ossec,ossec,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,06154da86f054f7e8f457290fbe8ae5f,ded6e23064eb449284fc1e18eaed2eac,agent-security,models/isolation_forest_wazuh.joblib,1,0.006881975721342304,43
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,1a712be6e90640d9b10541fc1eceb796,787ecb735e8843e49efde81cb93b9c3b,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,44
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,412127f1d20c41d9a4164be13fcfe3ed,4d26498aa4d74b75a324fad08a894648,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,45
authentication,,5402,machine-1,Oct  8 00:08:01 sohaib-virtual-machine sudo:   sohaib : TTY=pts/1 ; PWD=/home/sohaib ; USER=root ; COMMAND=/bin/bash, ,INFO,sudo,sudo,,sohaib,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,86dd2dae467c4d1891c22d443759dff5,96c2579af0c546b49ebefc73ad8fcdf7,agent-security,models/isolation_forest_wazuh.joblib,1,0.0008471167464392249,46
authentication,,5402,machine-1,Oct  8 00:23:43 sohaib-virtual-machine sudo:   sohaib : TTY=pts/3 ; PWD=/home/sohaib ; USER=root ; COMMAND=/usr/bin/systemctl status wazuh-agent, ,INFO,sudo,sudo,,sohaib,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,26fc130566124099942d1547c1f940ed,f80aa5d5e0ab449c9853a6d71b9ff6c0,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013787570697321172,47
package,,2901,machine-1,2023-10-08 00:34:52 install libauparse0:amd64 <none> 1:3.0.7-1build1, ,INFO,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,f4781bcee36e49b89aa7c2a00fd957b2,d317335eac0143c1a5ea51652b9897da,agent-security,models/isolation_forest_wazuh.joblib,1,0.004423046327611702,48
package,,2904,machine-1,2023-10-08 00:34:54 status half-configured auditd:amd64 1:3.0.7-1build1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,803985e82dc647e891f2dc458f846143,634cc2c43f38439fa756428c68fcdec7,agent-security,models/isolation_forest_wazuh.joblib,1,0.014940937291320289,49
package,,2902,machine-1,2023-10-08 00:34:59 status installed auditd:amd64 1:3.0.7-1build1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,55f332b704df4c7e9a0a51012bef8008,504972fb8cc54a9bb4502f1394485407,agent-security,models/isolation_forest_wazuh.joblib,1,0.01909301099603755,50
package,,2902,machine-1,2023-10-08 00:35:01 status installed libc-bin:amd64 2.35-0ubuntu3.4, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,64f59b39c8dd4b5bbdbf9a813098e506,2ac48a6ac69748e2a759ecbf0ed10909,agent-security,models/isolation_forest_wazuh.joblib,1,0.01909301099603755,51
wazuh,,502,ubuntu,ossec: Manager started., ,INFO,ossec,ossec,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,5cd31ab99cea44b4833a29d7a845f8d3,e6f6b582da364810a47df5821d34ac40,agent-security,models/isolation_forest_wazuh.joblib,1,0.006881975721342304,52
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,2e1020d4ac7343d8b35092934de3506c,b9aa1907053447dcb8c1635e0df98ceb,agent-security,models/isolation_forest_wazuh.joblib,1,0.01707465488399884,53
package,,2901,machine-1,2023-10-08 01:50:28 install p7zip:amd64 <none> 16.02+dfsg-8, ,INFO,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,344223c9b1c44537ac2aade652812cb1,37f09e05117445d4a331f1c7f6ec005a,agent-security,models/isolation_forest_wazuh.joblib,1,0.004779833500011321,54
package,,2904,machine-1,2023-10-08 01:50:28 status half-configured p7zip:amd64 16.02+dfsg-8, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,69b80832484d41b0b021affc34d8cc79,efe2223d1e74413a8a62535516fbd588,agent-security,models/isolation_forest_wazuh.joblib,1,0.01748206155204468,55
package,,2902,machine-1,2023-10-08 01:50:28 status installed p7zip:amd64 16.02+dfsg-8, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,39f680b53255456c8dfe8456dcf38146,afa7833ba2584ff7af1a311df5a682ae,agent-security,models/isolation_forest_wazuh.joblib,1,0.01909301099603755,56
package,,2901,machine-1,2023-10-08 00:40:33 install binutils:amd64 <none> 2.38-4ubuntu2.3, ,INFO,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,0f11fa22d1da43e6829e0ea13d21c9cf,6ec90438576f4bb9a3db2709919fd0ed,agent-security,models/isolation_forest_wazuh.joblib,1,0.004601409739147022,57
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured libctf-nobfd0:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,b71011657b2746dd8b5c8f6145124f75,90c919068a7f402ea8feecc2360dbc76,agent-security,models/isolation_forest_wazuh.joblib,1,0.015122859435313774,58
package,,2902,machine-1,2023-10-08 00:40:33 status installed libctf-nobfd0:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,b473a58114b94e66a4195afec99372db,aec7cf36a4054b3a9162ef3af69645b3,agent-security,models/isolation_forest_wazuh.joblib,1,0.016544308968796217,59
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,e0ff8974e5c14f8eb462064e31b778f6,5f63db021d814e0d90ace0fe47ba78e5,agent-security,models/isolation_forest_wazuh.joblib,1,0.014035522782058885,60
package,,2902,machine-1,2023-10-08 00:40:33 status installed binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,315762369b8246fb8960786a3f790060,7b40f3e9e759466fb1cafe347ec9a87c,agent-security,models/isolation_forest_wazuh.joblib,1,0.016506474923474568,61
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured man-db:amd64 2.10.2-1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,4f07e4e035154792bf0a34c016da8c61,163c431697c144f3af0f6b3478039221,agent-security,models/isolation_forest_wazuh.joblib,1,0.01748206155204468,62
package,,2902,machine-1,2023-10-08 00:50:41 status installed vim:amd64 2:8.2.3995-1ubuntu2.11, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,e74ca72e1e5442229495fdb54f8c3720,79af9284bacb43e4b8b5a7fb8c1f87d9,agent-security,models/isolation_forest_wazuh.joblib,1,0.01872654299894505,63
package,,2904,machine-1,2023-10-08 00:50:41 status half-configured man-db:amd64 2.10.2-1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,ae7d2fc91faa4b3cb5bfcba21882f99a,9b070685f9b1494887460884444e5f2b,agent-security,models/isolation_forest_wazuh.joblib,1,0.01748206155204468,64
package,,2901,machine-1,2023-10-08 00:40:30 install binutils-common:amd64 <none> 2.38-4ubuntu2.3, ,INFO,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,81538435fc0245c4bf0452a93a23c7b6,bb8212da11684408a3d412c911f0ce4c,agent-security,models/isolation_forest_wazuh.joblib,1,0.0021208749478113242,65
package,,2901,machine-1,2023-10-08 00:40:31 install libbinutils:amd64 <none> 2.38-4ubuntu2.3, ,INFO,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,3c9e6dbdf96643ccaf36bbf437e85003,abfe3e4d9ed94cb5b3219f1da4a64ce0,agent-security,models/isolation_forest_wazuh.joblib,1,0.004423046327611702,66
wazuh,,502,ubuntu,ossec: Manager started., ,INFO,ossec,ossec,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,5d556006a5594ddf8a25dde61da331de,d9ee2a796e374eb08cb5b7d8718376b5,agent-security,models/isolation_forest_wazuh.joblib,1,0.006881975721342304,67
security_configuration,,19008,machine-2, , ,INFO,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,2a7f7bfca12f42b2b1fce8302cbd8094,0ba890a62eb74c129e8b9f3ab095a35f,agent-security,models/isolation_forest_wazuh.joblib,1,0.005340347894149389,68
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,52171cba09834a80bbafbd08f79d78a9,710cbd32e635463d80549dfeb3fdd78c,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,69
security_configuration,,19008,machine-2, , ,INFO,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,84c34b057d67449a87516383d55d216d,c1a73335f41641fba7866e0d385072a5,agent-security,models/isolation_forest_wazuh.joblib,1,0.005340347894149389,70
security_configuration,,19008,machine-2, , ,INFO,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,d755c923a9a14f37afc83cdd670d987c,94ec574c5eb7428386a896cf2f10e090,agent-security,models/isolation_forest_wazuh.joblib,1,0.005340347894149389,71
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,a5760e16a3d3467cb61670fd71205be1,517d8fba9a744ca89cc504d928cb818f,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,72
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,9b44a68c5d33435f85d5c25a16006bfd,589601edbe0045beab83f65c7acdd9de,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,73
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,96aab0fd3aa544dfac3d1e53bc20a7c2,6266ed10b9e9460e8a38c8bb3a641a25,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,74
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,7d964333bf964ddb82f623242f6ff135,4fdf2c4e914742c885e359065f68b123,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,75
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,eebbced1710a4b0bbabe06a43ca58e62,a176582bbf3e474dbeb0b331315ead8f,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,76
security_configuration,,19007,machine-2, , ,WARNING,sca,sca,, ,multisource_cnp_model_inference_20260911T003432Z,M,wazuh,b172545f1fcd4571b61e3a71a11448d8,d3a0ce9397c2445b9526a48ae7bb93b8,agent-security,models/isolation_forest_wazuh.joblib,1,0.0013355581097239666,77
