category,dst_port,event,host,message,proto,severity,source,subcategory,timestamp_iso,user,end_to_end_run_id,condition,source_id,task_id,contract_id,agent_id,model,is_anomaly,anomaly_score,anomaly_rank
,22,,db-ber-01,Multiple failed login attempts for user www-data,N/A,,sudo,,2023-11-15T07:04:08.360541,www-data,multisource_cnp_model_inference_20260911T003432Z,H,linux_auth,852c52b208d3471cab9a0d4fe0b78153,767ec3c580664dd6af536c65317b12a9,agent-security,e2e_lightweight_candidate_rule_v1,1,1.0,16
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,e173ba958f87471bae8bac03f841caa1,13507df13ae748528ba0184ee9c31789,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,17
package,,2902,machine-1,2023-10-06 23:24:49 status installed linux-modules-extra-6.2.0-26-generic:amd64 6.2.0-26.26~22.04.1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,12b829d994f6493f85e4dc106e778420,44e92677635148a5a38d17b6c34bf043,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,18
authentication,,2501,machine-1,Oct  6 23:24:52 sohaib-virtual-machine gdm-password]: pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty1 ruser= rhost=  user=sohaib, ,WARNING, , ,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,da606c1c2dba46ab8c8988a7cb2a8477,c66447e6b5ad43d4b04352b8ec42c7b4,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,19
file_integrity,,550,machine-1,"File '/etc/opt/kaspersky/klnagent/1103/1.0.0.0/NagentFlags/KLNAG_FLAGS_DETECT_REVERT_ID' modified
Mode: scheduled
Changed attributes: mtime,inode,md5,sha1,sha256
Old modification time was: '1696529162', now it is '1696536226'
Old inode was: '132851', now it is '132896'
Old md5sum was: '82b64f6e8ee3835c4eb0babb394d5f6a'
New md5sum is : 'a0711e9dfd26d2ba3cdd36d4d557cd73'
Old sha1sum was: '317938fbe5671eeccee445fa8184fa08731bd43d'
New sha1sum is : '4d0cc180e804d57cdecbc994213c175817474e9b'
Old sha256sum was: '4f9d402a5ef58d3dfe14c39c6b047c412f4093f4269f73189a04fd36ef77216e'
New sha256sum is : '6507f936a2fc6a88e310041d9367f42305647153ae93c757624f4d7ac9ae5293'
", ,WARNING,syscheck_integrity_changed,syscheck_integrity_changed,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,fe08de7f3c9a4a9a93a171c0e9c2ac7e,08c02c379c5b43188775945f418ca280,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,20
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,7a44487266e34848bb22aef3554078b5,dbffb23410be4260a6eb320348e239cf,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,21
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,1b09d94c8b6645bcb53423cb740f0a2f,324b2adefec54cf8bb24027c2c357915,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,22
wazuh,,510,machine-1,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,0288577b5b3d4258aa51ff5c9d4f2ee7,fd830f6a26884b8ebe713a4c01c82bd4,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,23
wazuh,,40704,machine-1,"Oct  7 22:16:09 sohaib-virtual-machine systemd[1115]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,c0f260cd70474e678027bc5f8e384f5e,a4052f25a2b84e7bb9eaa0c97d3d7afc,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,24
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,968c62ea9eae47a58350fd2f2b99dfd1,8907b318ab4644e99342e2d1db9224fc,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,25
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,72274e4b9d42410ab4d072713ff372ec,869fbe847b734a48949a6d67d88692a0,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,26
wazuh,,510,ubuntu,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,0ab061e72d2e4fe7b0d573091770b193,81f2ddb38b5641a2b1b6e696b88b31af,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,27
package,,2904,machine-1,2023-10-08 00:34:54 status half-configured auditd:amd64 1:3.0.7-1build1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,703306246057457eb277cbd1f8757843,1e9fa1e14fd04d29a4a074811f34c017,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,28
package,,2902,machine-1,2023-10-08 00:34:59 status installed auditd:amd64 1:3.0.7-1build1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,b576d4973b194fb693dd5559aa86441a,feb454d6f44140e4b3f605f11c514894,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,29
package,,2902,machine-1,2023-10-08 00:35:01 status installed libc-bin:amd64 2.35-0ubuntu3.4, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,770c4b2381f241168c05dfeaf608df0a,435d6c02445443c6b25bff42e9b224b2,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,30
wazuh,,510,machine-1,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,12df14d0930c468ca4e5efeecc737ddf,d589564756fd4caa856ae4b5ba450ca1,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,31
wazuh,,40704,machine-1,"Oct  7 23:20:56 sohaib-virtual-machine systemd[1189]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,cc8911c5df1b423a88ccd4fa44e8dea4,39dbc562ec12496fa582cafc79df5ecf,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,32
web_attack,,31164,machine-1,"192.168.204.1 - - [08/Oct/2023:00:25:01 +0500] ""GET /DVWA/vulnerabilities/sqli/?id=%27&Submit=Submit HTTP/1.1"" 500 295 ""http://192.168.204.130/DVWA/vulnerabilities/sqli/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.55""",GET,WARNING,web-accesslog,web-accesslog,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,b482872547f04ce1a2410be38bfe6521,f9f7e470eb494db99df0fc7f54e61053,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,33
wazuh,,510,ubuntu,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,462c839ef040431cb83da812d4f7d6fe,abf8737c128145368883a67c2ea3a52c,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,34
package,,2904,machine-1,2023-10-08 01:50:28 status half-configured p7zip:amd64 16.02+dfsg-8, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,40a9b97b356c4d038ca93f3ededfa4bc,da323c6a138c47f684ee90f3a4a76f7d,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,35
package,,2902,machine-1,2023-10-08 01:50:28 status installed p7zip:amd64 16.02+dfsg-8, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,c8a547b459f7416ab380f81fc961c47e,6e4ce621a8a64b17bf62aad47184a39f,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,36
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,2a4d357a30f946ccaabd744dc49f579b,0dc7ba46f5ee4b8e87e2d95b0da1bec7,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,37
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,fbcd8405c1cf4efcbc970d5aa30fdbd2,a8713d54ec8246a38f94f2c2fc5c35d3,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,38
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,5e99ae0121c14536a8347624eb80e067,9c050d1ad99f4ba7980db7fd759db828,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,39
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,3cb11ed4f80f4a38b55e7a34a6841b96,219570f951314936a9c53d0ae3243b70,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,40
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,973fe18a18ec4b098135a247928593ef,4c53d6f7d8eb46c49eef0840a3caca58,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,41
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured libctf-nobfd0:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,74b86ff6520b4595afa491bf99c0c78e,c1b5121fed0641049645f5a184c075d1,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,42
package,,2902,machine-1,2023-10-08 00:40:33 status installed libctf-nobfd0:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,77605c6cd5db48eda3fa5cf805a48a45,02c66beb7deb4eab898ebe53b964e5ce,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,43
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,edb3a7bd284a4934b36184d46983f743,29d8e6e05aec4e29baadfa61ce6b805a,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,44
package,,2902,machine-1,2023-10-08 00:40:33 status installed binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.3, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,12eccb6687de4097b62cfd1ebd8235f8,10cd2045d7ae4d999c251fb363d27388,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,45
package,,2904,machine-1,2023-10-08 00:40:33 status half-configured man-db:amd64 2.10.2-1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,1dbbf1b146734f2c96783d9c0f4767ba,1bbe1a4ded634128948510160843ddc3,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,46
package,,2902,machine-1,2023-10-08 00:50:41 status installed vim:amd64 2:8.2.3995-1ubuntu2.11, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,60ab573deccc4667b250f98a14ab6afd,02f7fe4be8e648deaa3a4c78a37f70b1,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,47
package,,2904,machine-1,2023-10-08 00:50:41 status half-configured man-db:amd64 2.10.2-1, ,WARNING,dpkg-decoder,dpkg-decoder,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,b1b6136619e14e76b800593e749bc040,079cfbb97f884ea3b0025f34a7c2eb63,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,48
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,8c14286af8a24c25a8488da38ad6fa15,c5e7e85e0ade4ff489b5f21578971a73,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,49
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,e6c5c882baa64115addcbbb0ed59ac10,f46d193eb4744fb9acb81ed50f573de7,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,50
wazuh,,510,machine-1,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,744a02e44d434e808a49b094c38a56d0,f30868d0ba7c4d099adefdb220b7cad7,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,51
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,410bb87650314cf8bff4f90b4360f729,f1f8e22ed6ac458298f06f004b9127cb,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,52
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,c6fd76a811cc43fb85cd186416f4b4a6,7acadd8e08c44857a1f5b68bf92c90cf,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,53
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,6d189ef2a7f942a68da80e0df3f72b32,7ac7a0cd60374133a65596011847adb7,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,54
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,5c3cb2a5e84f4af0a9e80ee78b686f8b,fca4aef53695430aa9fb56c133a77a3b,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,55
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,2982dd4049fa4db6b701d0bbcbb762d4,1f87a882f2a64d79b1f01e90f8049fbd,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,56
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,a9f1b1564e974bad8e65bb93248e24d3,b1eeef8405474a72aa5b3eee80c4fdc3,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,57
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,a518e8994560493b98e99469710e2abf,c75d052a395a4378a1e40e0bb9015924,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,58
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,07231e4cce0d46e589dd0b6db2476a00,b3144310099b4b3aa90865f9720b59a1,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,59
wazuh,,203,machine-1,wazuh: Agent buffer: 'full'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,8c78247e6f1f4684a5f78d2248720f1f,f77ab4b3a47e483494cf810497939af1,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,60
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,36e353817f6d4e2fb1d6aeb9b6935c67,328f99cc6d004fc1bf1073cb54aa787d,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,61
wazuh,,202,machine-1,wazuh: Agent buffer: '90%'., ,WARNING,wazuh,wazuh,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,4417c3978d0345399319944db7756054,49e5a35ff3e74005bf0279ec4b53faee,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,62
wazuh,,510,machine-1,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic)., ,WARNING,rootcheck,rootcheck,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,5facf01219f74051b62a235b4016fb5b,10053555123e4ff6a914372429228715,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,63
wazuh,,40704,machine-1,"Oct  8 02:02:35 sohaib-virtual-machine systemd[1261]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,763bd08162754411bf75923064f16c22,ee58e4ed225e49fcb52fceea16a6131a,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,64
wazuh,,40704,machine-1,"Oct 12 23:48:26 sohaib-virtual-machine systemd[1252]: snap.snapd-desktop-integration.snapd-desktop-integration.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,2a222d401cb44270b1a27bf47fe1138f,6a3c0aa8d3db4831a1d8d0b005af4574,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,65
wazuh,,40704,machine-1,"Oct 12 23:49:56 sohaib-virtual-machine systemd[1252]: xdg-permission-store.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,ab61933d35c34120a6614f508846d74a,dd7ba2c43ee1454fb64e82a268ec48f2,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,66
wazuh,,40704,machine-1,"Oct 12 23:59:39 sohaib-virtual-machine systemd[2563]: org.gnome.SettingsDaemon.XSettings.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,de3df97f87d54a3d92359ed75b1f44f1,8af0b9aad08647e3b46e9d569da6d5ce,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,67
wazuh,,40704,machine-1,"Oct 12 23:59:40 sohaib-virtual-machine systemd[2563]: org.gnome.SettingsDaemon.Wacom.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,5c1d776579694dc1bc55a56680a6d398,2b28204bf9304613bfadcc797afeb6a5,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,68
wazuh,,40704,machine-1,"Oct 12 23:59:42 sohaib-virtual-machine systemd[2563]: org.gnome.SettingsDaemon.Power.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,ca27ed7761f745f187cca0f36696eac1,9508516650394277a4ac120b14369537,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,69
wazuh,,40704,machine-1,"Oct 12 23:59:42 sohaib-virtual-machine systemd[2563]: xdg-desktop-portal-gtk.service: Main process exited, code=exited, status=1/FAILURE", ,WARNING,systemd,systemd,, ,multisource_cnp_model_inference_20260911T003432Z,H,wazuh,a2147d7019824f30b59e637ec27e1c4d,46cb1bc19e2b410d85eba5f324db22b7,agent-security,e2e_lightweight_candidate_rule_v1,1,0.65,70
