Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Log Type
2023-06-12 22:48:06,195.174.100.48,157.82.230.35,1788,49555,MySQL,Cloud Service
2023-06-12 18:55:38,61.71.250.77,205.23.83.53,13997,47493,MySQL,Cloud Service
2023-06-01 12:23:28,245.155.98.10,80.111.116.205,61186,11750,SSH,Cloud Service
2023-06-04 15:11:32,235.38.203.204,7.74.102.153,52441,13826,SMTP,Cloud Service
2023-06-12 09:21:58,67.89.66.46,167.137.187.25,34813,36344,SSH,Cloud Service
2023-06-02 03:43:27,6.10.201.64,111.242.23.226,59985,54124,HTTP,Cloud Service
2023-06-26 07:47:08,13.187.142.196,7.64.45.151,4782,18525,HTTP,Cloud Service
2023-06-14 04:32:33,226.50.158.153,96.65.5.242,27675,56921,SMTP,Cloud Service
2023-06-09 14:34:57,138.214.122.21,251.184.93.17,47257,7898,FTP,Cloud Service
2023-06-26 19:08:05,6.124.110.114,208.255.10.59,42889,38902,SMTP,Cloud Service
2023-06-24 15:30:30,71.84.87.154,87.21.171.66,41803,64607,HTTP,Cloud Service
2023-06-02 04:44:55,102.28.171.182,206.171.38.200,51516,55183,SSH,Cloud Service
2023-06-07 02:25:46,84.144.13.91,214.93.7.100,41803,24239,SMTP,Cloud Service
2023-06-11 03:48:14,196.246.227.235,76.137.249.158,34310,63723,SMTP,Cloud Service
2023-06-09 17:59:07,5.236.236.147,219.194.122.196,32377,2522,MySQL,Cloud Service
2023-06-14 06:29:03,127.52.110.24,211.116.249.14,23744,20588,HTTP,Cloud Service
2023-06-02 03:54:04,84.68.166.90,246.138.152.27,38859,51741,MySQL,Cloud Service
2023-06-24 06:49:45,45.233.121.194,214.193.13.54,65006,36082,MySQL,Cloud Service
2023-06-13 22:23:03,233.218.8.202,53.39.49.183,22613,42573,FTP,Cloud Service
2023-06-15 20:30:46,207.112.196.76,171.193.5.122,23117,41130,HTTP,Cloud Service
2023-06-25 12:17:14,74.198.12.167,101.154.21.17,8750,42382,MySQL,Cloud Service
2023-06-05 08:45:51,159.206.68.238,102.135.234.97,3984,26586,MySQL,Cloud Service
2023-06-26 20:49:13,99.192.183.121,7.96.67.5,51704,42468,SSH,Cloud Service
2023-06-04 10:26:53,128.95.150.247,158.114.192.21,1119,9395,MySQL,Cloud Service
2023-06-09 07:19:11,72.14.27.158,129.66.253.56,49166,30372,SMTP,Cloud Service
2023-06-11 13:34:20,243.15.168.231,239.84.96.23,39200,13641,SSH,Cloud Service
2023-06-22 23:10:08,38.47.99.251,251.153.99.248,46351,42133,FTP,Cloud Service
2023-06-19 09:26:32,205.89.225.172,196.249.202.128,4050,35101,FTP,Cloud Service
2023-06-14 20:54:14,141.142.54.134,251.247.9.114,23944,57400,SSH,Cloud Service
2023-06-08 04:55:08,237.80.115.250,147.154.135.251,22832,40848,HTTP,Cloud Service
2023-06-04 10:19:17,138.20.76.64,165.220.76.63,33200,57702,FTP,Cloud Service
2023-06-30 17:23:19,129.231.83.82,17.135.227.160,37731,53036,MySQL,Cloud Service
2023-06-26 08:26:04,78.187.213.29,94.71.169.211,38684,5917,SMTP,Cloud Service
2023-06-30 15:59:37,253.205.199.139,204.202.2.122,36203,15515,HTTP,Cloud Service
2023-06-27 23:57:26,110.125.227.139,122.27.158.37,14381,62255,MySQL,Cloud Service
2023-06-05 08:22:42,73.78.189.78,134.36.190.37,3598,21138,HTTP,Cloud Service
2023-06-29 13:23:59,17.149.95.122,218.216.12.147,13239,489,SSH,Cloud Service
2023-06-03 04:56:00,3.227.148.98,28.129.153.163,16008,17900,SMTP,Cloud Service
2023-06-26 15:02:50,254.129.195.184,185.180.56.107,38127,44493,HTTP,Cloud Service
2023-06-25 03:44:07,103.4.196.49,145.178.73.25,18183,59529,HTTP,Cloud Service
2023-06-10 17:21:06,23.143.193.107,77.151.235.117,62312,61260,SSH,Cloud Service
2023-06-10 11:11:07,160.103.59.223,164.106.246.193,52736,30171,SMTP,Cloud Service
2023-06-30 18:16:13,93.241.243.102,37.135.219.37,9805,60214,FTP,Cloud Service
2023-06-25 21:47:34,44.75.176.117,35.196.183.47,34056,28866,SSH,Cloud Service
2023-06-10 10:49:04,162.119.90.52,40.245.46.75,40449,51446,FTP,Cloud Service
2023-06-24 17:10:09,97.234.151.42,141.142.26.47,53621,35302,SSH,Cloud Service
2023-06-05 19:51:31,182.41.146.167,83.209.217.105,20262,45415,SSH,Cloud Service
2023-06-26 16:03:45,51.65.56.73,84.11.72.51,1519,28037,SMTP,Cloud Service
2023-06-08 01:47:10,78.177.133.250,204.135.4.146,32779,53391,SSH,Cloud Service
2023-06-01 15:25:31,151.99.63.15,122.210.213.117,57929,46926,SSH,Cloud Service
2023-06-02 13:14:54,175.191.163.123,249.244.183.24,49766,29139,SMTP,Cloud Service
2023-06-13 22:44:34,220.158.24.179,111.217.96.164,24212,58127,FTP,Cloud Service
2023-06-29 06:30:26,215.68.226.107,113.238.195.35,49760,2634,HTTP,Cloud Service
2023-06-29 18:46:32,120.136.188.211,214.213.166.151,25667,34713,SSH,Cloud Service
2023-06-14 20:57:53,100.185.99.34,212.130.24.65,26881,56984,SSH,Cloud Service
2023-06-03 13:54:46,35.58.71.39,118.89.32.36,45769,9332,FTP,Cloud Service
2023-06-28 00:50:27,248.232.35.226,81.94.142.62,42828,33574,SSH,Cloud Service
2023-06-21 18:49:33,23.184.125.94,71.165.0.237,46253,48272,HTTP,Cloud Service
2023-06-05 16:32:02,38.82.77.56,254.131.14.148,4814,7383,SMTP,Cloud Service
2023-06-18 05:40:37,45.43.102.73,39.148.161.176,56767,55312,SMTP,Cloud Service
2023-06-02 09:06:07,170.124.18.207,125.27.55.21,28128,34896,FTP,Cloud Service
2023-06-11 17:07:59,242.211.150.24,215.89.92.11,63346,47873,FTP,Cloud Service
2023-06-10 10:10:52,38.96.106.192,206.254.195.29,31628,63909,HTTP,Cloud Service
2023-06-19 21:36:38,53.208.153.37,143.55.213.40,27506,15905,MySQL,Cloud Service
2023-06-12 19:19:33,202.39.127.129,158.95.104.120,20369,61305,SSH,Cloud Service
2023-06-22 15:17:27,30.36.97.188,179.180.132.178,57396,55915,MySQL,Cloud Service
2023-06-05 18:50:43,196.44.189.213,75.35.165.160,54013,38675,SMTP,Cloud Service
2023-06-04 09:58:03,133.163.20.255,7.141.45.153,23295,3072,FTP,Cloud Service
2023-06-30 15:27:29,106.45.3.11,121.42.67.154,42433,63345,FTP,Cloud Service
2023-06-24 19:09:31,176.42.153.222,200.186.203.144,39036,64679,HTTP,Cloud Service
2023-07-01 07:01:39,23.139.109.190,146.46.144.131,59990,29256,FTP,Cloud Service
2023-06-10 00:23:17,138.10.54.94,35.51.70.163,38057,40157,HTTP,Cloud Service
