dataset,subtype,lineno,timestamp_iso,severity,event,source,component,message
hdfs,hdfs,22,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.215.16
hdfs,hdfs,23,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7503483334202473044 terminating
hdfs,hdfs,24,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.71.16
hdfs,hdfs,25,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataTransfer,dfs.DataNode$DataTransfer,10.250.14.224:50010:Transmitted block blk_-1608999687919862906 to /10.251.215.16:50010
hdfs,hdfs,26,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178
hdfs,hdfs,27,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010
hdfs,hdfs,28,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_7503483334202473044 terminating
hdfs,hdfs,29,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.250.19.102
hdfs,hdfs,30,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.DataNode,dfs.DataNode,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010"
hdfs,hdfs,31,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* ask 10.250.14.224:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.215.16:50010 10.251.71.193:50010
hdfs,hdfs,32,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.10:50010 is added to blk_7503483334202473044 size 233217
hdfs,hdfs,33,2008-11-09T20:35:21+00:00,INFO,blk_-3544583377289625738,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-3544583377289625738
hdfs,hdfs,34,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,35,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_7503483334202473044 size 233217
hdfs,hdfs,36,2008-11-09T20:35:21+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,37,2008-11-09T20:35:21+00:00,INFO,blk_7503483334202473044,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.16:50010 is added to blk_7503483334202473044 size 233217
hdfs,hdfs,38,2008-11-09T20:35:22+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.251.197.226:60229 dest: /10.251.197.226:50010
hdfs,hdfs,39,2008-11-09T20:35:22+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.11.100:54800 dest: /10.250.11.100:50010
hdfs,hdfs,40,2008-11-09T20:35:22+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-3544583377289625738 terminating
hdfs,hdfs,41,2008-11-09T20:35:22+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-3544583377289625738 of size 11971 from /10.250.19.102
hdfs,hdfs,42,2008-11-09T20:35:23+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-9073992586687739851 src: /10.250.19.102:37673 dest: /10.250.19.102:50010
hdfs,hdfs,43,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-3544583377289625738 terminating
hdfs,hdfs,44,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-3544583377289625738 of size 11971 from /10.251.197.226
hdfs,hdfs,45,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-3544583377289625738 terminating
hdfs,hdfs,46,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-3544583377289625738 of size 11971 from /10.250.11.100
hdfs,hdfs,47,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.250.19.102
hdfs,hdfs,48,2008-11-09T20:35:23+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.250.19.102
hdfs,hdfs,49,2008-11-09T20:35:23+00:00,INFO,blk_-9073992586687739851,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_logs/history/ip-10-250-19-102.ec2.internal_1226291400491_job_200811092030_0001_conf.xml. blk_-9073992586687739851
hdfs,hdfs,50,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.179:50010 is added to blk_-3544583377289625738 size 11971
hdfs,hdfs,51,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.100:50010 is added to blk_-3544583377289625738 size 11971
hdfs,hdfs,52,2008-11-09T20:35:23+00:00,INFO,blk_-3544583377289625738,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_-3544583377289625738 size 11971
hdfs,hdfs,53,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-9073992586687739851 src: /10.250.14.196:39576 dest: /10.250.14.196:50010
hdfs,hdfs,54,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-9073992586687739851 src: /10.250.7.244:39735 dest: /10.250.7.244:50010
hdfs,hdfs,55,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-9073992586687739851 terminating
hdfs,hdfs,56,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-9073992586687739851 of size 11977 from /10.250.19.102
hdfs,hdfs,57,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-9073992586687739851 terminating
hdfs,hdfs,58,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-9073992586687739851 of size 11977 from /10.250.14.196
hdfs,hdfs,59,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-9073992586687739851 terminating
hdfs,hdfs,60,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.DataNode$PacketResponder,dfs.DataNode$PacketResponder,Received block blk_-9073992586687739851 of size 11977 from /10.250.7.244
hdfs,hdfs,61,2008-11-09T20:35:24+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* ask 10.251.215.16:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.74.79:50010 10.251.107.19:50010
hdfs,hdfs,62,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_-9073992586687739851 size 11977
hdfs,hdfs,63,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-9073992586687739851 size 11977
hdfs,hdfs,64,2008-11-09T20:35:24+00:00,INFO,blk_-9073992586687739851,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.196:50010 is added to blk_-9073992586687739851 size 11977
hdfs,hdfs,65,2008-11-09T20:35:25+00:00,INFO,blk_7503483334202473044,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.215.16:50010 Served block blk_7503483334202473044 to /10.250.19.102
hdfs,hdfs,66,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010 of size 91178
hdfs,hdfs,67,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010 of size 91178
hdfs,hdfs,68,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010
hdfs,hdfs,69,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010
hdfs,hdfs,70,2008-11-09T20:35:26+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.250.18.114
hdfs,hdfs,71,2008-11-09T20:35:26+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.199.225
hdfs,hdfs,72,2008-11-09T20:35:26+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.30.85
hdfs,hdfs,73,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataTransfer,dfs.DataNode$DataTransfer,10.251.215.16:50010:Transmitted block blk_-1608999687919862906 to /10.251.74.79:50010
hdfs,hdfs,74,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.DataNode,dfs.DataNode,"10.251.215.16:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.74.79:50010, 10.251.107.19:50010"
hdfs,hdfs,75,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,76,2008-11-09T20:35:26+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_-1608999687919862906 size 91178
hdfs,hdfs,77,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.31.5:53020 dest: /10.251.31.5:50010
hdfs,hdfs,78,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.107.19:56341 dest: /10.251.107.19:50010 of size 91178
hdfs,hdfs,79,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.107.19:56341 dest: /10.251.107.19:50010
hdfs,hdfs,80,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataTransfer,dfs.DataNode$DataTransfer,10.251.107.19:50010:Transmitted block blk_-1608999687919862906 to /10.251.31.5:50010
hdfs,hdfs,81,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.250.18.114
hdfs,hdfs,82,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.203.149
hdfs,hdfs,83,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.31.5
hdfs,hdfs,84,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.31.5
hdfs,hdfs,85,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.251.203.129
hdfs,hdfs,86,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.125.193
hdfs,hdfs,87,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.250.19.16
hdfs,hdfs,88,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.30.134
hdfs,hdfs,89,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.251.127.243
hdfs,hdfs,90,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.10.6:50010 Served block blk_-1608999687919862906 to /10.251.65.203
hdfs,hdfs,91,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.125.193
hdfs,hdfs,92,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.14.224:50010 Served block blk_-1608999687919862906 to /10.251.127.191
hdfs,hdfs,93,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.251.111.209
hdfs,hdfs,94,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.127.191
hdfs,hdfs,95,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.251.203.149
hdfs,hdfs,96,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.30.179
hdfs,hdfs,97,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.250.17.225
hdfs,hdfs,98,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.251.215.16
hdfs,hdfs,99,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.251.30.134
hdfs,hdfs,100,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.74.192
hdfs,hdfs,101,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.203.4
hdfs,hdfs,102,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.215.16:50010 Served block blk_-1608999687919862906 to /10.250.19.227
hdfs,hdfs,103,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.250.19.227
hdfs,hdfs,104,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.215.16
hdfs,hdfs,105,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.65.203
hdfs,hdfs,106,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.250.17.177
hdfs,hdfs,107,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.66.63
hdfs,hdfs,108,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.201.204
hdfs,hdfs,109,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.251.126.5
hdfs,hdfs,110,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.126.83
hdfs,hdfs,111,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.126.255
hdfs,hdfs,112,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.125.237
hdfs,hdfs,113,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.203.246
hdfs,hdfs,114,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.111.209
hdfs,hdfs,115,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.203.166
hdfs,hdfs,116,2008-11-09T20:35:27+00:00,INFO,blk_-3544583377289625738,dfs.DataNode$DataXceiver,dfs.DataNode$DataXceiver,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.31.160
hdfs,hdfs,117,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.DataNode,dfs.DataNode,"10.251.107.19:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.31.5:50010, 10.251.71.240:50010"
hdfs,hdfs,118,2008-11-09T20:35:27+00:00,INFO,blk_-1608999687919862906,dfs.FSNamesystem,dfs.FSNamesystem,BLOCK* ask 10.251.107.19:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.31.5:50010 10.251.71.240:50010
